flight id:401
flight code:Su-27
origin:RU
date:2011-06-01
from:krymsk
to:vaziani
motor(s):2
mass aircraft:17500.032952
mass fuel:17500.032952
lift coef:1.3276531002791723
drag coef:0.012475794761808172

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893656.86,2.0185508,6.5781168,24.33,-1.0,-1.5,223.6,298921.22,-49765.27,-1.0,13.540287679636782,5025943.943132127,5025943.943132127,21.64500079655659,7.608147542533715,25041.940567492187,87.6,30.378882300608083
1306893682.29,2.0155687,6.5758744,24.33,-1.0,-1.8,223.6,298699.78,-50028.95,-1.0,13.540287679636782,5167093.207508666,5167093.207508666,22.320596934564833,7.853516566780683,24588.439208662654,89.0,30.37856843359146
1306893686.11,2.0136474,6.5744296,24.41,-1.0,0.0,223.6,298557.13,-50198.85,-1.0,58.07451091979034,4741162.807094149,4741162.807094149,23.53618333523855,7.935463092192996,24920.091564263865,87.8,30.378400017143516
1306893686.53,2.0134078,6.5742494,24.48,-1.0,3.4,223.6,298539.34,-50220.03,-1.0,65.85738052335596,3903150.096810162,3903150.096810162,21.408882350780843,8.160856286989313,25562.676920833175,85.90000000000002,30.378300498333363
1306893686.95,2.0131631,6.5740654,24.53,-1.0,5.6,223.6,298521.16,-50241.67,-1.0,67.29315371001339,3520731.9753366136,3520731.9753366136,21.484676700994978,8.083323373056318,25450.231345370667,84.10000000000001,30.378254566574835
1306893687.37,2.0129109,6.5738757,24.57,-1.0,7.0,223.6,298502.44,-50263.97,-1.0,69.32336787625037,3520731.975336613,3520731.975336613,21.484676700994974,8.083323373056318,25450.231345370663,84.10000000000001,30.37825456657483
1306893687.79,2.0126523,6.5736813,24.59,-1.0,8.0,223.6,298483.22,-50286.84,-1.0,71.12815299418722,3903150.096810161,3903150.096810161,21.408882350780843,8.160856286989311,25562.67692083317,85.90000000000002,30.37830049833336
1306893688.22,2.0123835,6.5734791,24.61,-1.0,8.6,223.6,298463.28,-50310.61,-1.0,72.1536354768776,4741162.807094149,4741162.807094149,23.536183335238547,7.935463092192995,24920.09156426386,87.8,30.37840001714351
1306893688.65,2.0121107,6.573274,24.63,-1.0,9.1,223.6,298443.0,-50334.73,-1.0,73.28544589545503,5167093.207508666,5167093.207508666,22.32059693456483,7.853516566780682,24588.43920866266,89.0,30.378568433591454
1306893689.08,2.0118249,6.573059,24.74,-1.0,9.6,223.6,298421.78,-50360.01,-1.0,76.75756647931225,5025943.943132126,5025943.943132126,21.645000796556587,7.608147542533715,25041.94056749219,87.60000000000001,30.378882300608076
1306893689.5,2.0115449,6.5728485,25.05,-1.0,10.2,223.6,298401.0,-50384.76,-1.0,76.94811620894228,4865198.316650229,4865198.316650229,20.86010762808808,7.704744118883032,24791.086001688276,87.80000000000001,30.379433481710436
1306893689.93,2.0112532,6.5726291,25.69,-1.0,10.5,223.6,298379.34,-50410.55,-1.0,78.33754492403058,4398503.96427444,4398503.96427444,19.87704312970724,7.370804801909085,24890.795684132638,89.10000000000001,30.38047460157046
1306893690.35,2.0109641,6.5724118,26.68,-1.0,10.8,223.6,298357.88,-50436.11,-1.0,79.49764898586686,4104071.50790016,4104071.50790016,18.5667943976353,7.291733620998455,24387.983321050808,91.10000000000002,30.382212353101515
1306893692.48,2.0093953,6.5712356,38.06,-1.0,11.0,223.6,298241.34,-50574.43,-1.0,85.08344746690807,4257646.172276268,4257646.172276268,18.85979920978988,7.148047240245702,24509.03834484358,92.80000000000001,30.39260824111551
1306893780.78,1.9120218,6.5458193,544.6,-1.0,11.0,172.2,290679.63,-53868.79,-1.0,93.5867125878311,4276511.702200499,4276511.702200499,19.552946953445435,7.009528444913815,24692.369769613826,91.20000000000002,30.79073706876206
1306893781.2,1.9120719,6.5454966,544.69,-1.0,11.0,172.2,290685.75,-53904.4,-1.0,86.02898992261913,4200216.218994949,4200216.218994949,18.629469006104145,7.123945241786924,24382.957565482244,91.10000000000001,31.188904172874047
1306893782.48,1.9122261,6.5445107,544.94,-1.0,11.0,172.1,290704.59,-54013.18,-1.0,86.24977724740222,9981874.684557606,9981874.684557606,20.21248204482971,6.808732596993028,24451.65942896701,91.1,31.58724734872706
1306893782.69,1.9122524,6.5443436,544.97,-1.0,4.2,172.1,290707.81,-54031.62,-1.0,89.1383256755484,15807494.569196688,15807494.569196688,18.703424211521856,7.087924622147476,25195.040573544688,90.3,31.985598179873172
1306893782.9,1.9122778,6.5441826,545.01,-1.0,4.2,172.1,290710.91,-54049.38,-1.0,85.85029974513475,22287493.620709408,22287493.620709408,20.30878466793118,7.3198067514297165,25073.062069452644,91.1,32.38396432160545
1306893784.38,1.9124594,6.5430412,545.25,-1.0,4.2,172.0,290732.97,-54175.3,-1.0,86.37700835572848,28326423.417005446,28326423.417005446,21.577442792523343,7.238624452062959,25152.757718344652,94.19999999999999,32.78242998214788
1306893784.8,1.9125105,6.5427223,545.31,-1.0,4.2,172.0,290739.19,-54210.48,-1.0,85.06118197429284,28523041.701854713,28523041.701854713,23.843140998366437,7.133621030512161,25585.848260782324,94.1,33.18070426036311
1306893786.48,1.9127197,6.5414288,545.51,-1.0,4.2,171.9,290764.47,-54353.17,-1.0,86.25727653238336,22662177.322605316,22662177.322605316,25.664889576802224,7.150920494913584,25696.78178302325,91.39999999999999,33.57864170568244
1306893786.9,1.9127724,6.5411055,545.55,-1.0,4.2,171.9,290770.81,-54388.83,-1.0,86.23625209719313,16118217.162345886,16118217.162345886,27.858630738526493,7.339121986665086,25872.3715089613,92.7,33.97585189815838
1306893788.38,1.9129596,6.5399663,545.68,-1.0,4.2,171.8,290793.31,-54514.48,-1.0,86.24911730320261,9621773.878652686,9621773.878652686,30.007625964135347,7.264203018646737,25287.445595294306,94.20000000000002,34.36444988590991
1306893788.81,1.9130151,6.5396308,545.71,-1.0,4.2,171.8,290799.97,-54551.49,-1.0,87.45230420839519,3794388.1260437644,3794388.1260437644,29.29171137493561,7.427264648773765,24791.305170857227,93.80000000000001,34.36529962344272
1306893790.08,1.9131775,6.5386581,545.79,-1.0,4.2,171.7,290819.38,-54658.76,-1.0,85.83619018230031,3990856.127782259,3990856.127782259,29.65505924807019,7.297575654034697,25165.457731241997,93.80000000000001,34.36614170568244
1306893790.5,1.9132318,6.5383357,545.81,-1.0,4.2,171.7,290825.84,-54694.31,-1.0,86.02898662783811,4257643.869978618,4257643.869978618,28.75826028964673,7.512906661924828,25501.415932135827,93.0,34.36680771618113
1306893791.76,1.9133966,6.5373641,545.87,-1.0,4.2,171.6,290845.47,-54801.45,-1.0,86.44719099069383,5220772.404820747,5220772.404820747,27.863674761529406,7.133590144301189,24955.26249565361,91.7,34.36749669255908
1306893791.97,1.913424,6.5372041,545.87,-1.0,4.2,171.6,290848.72,-54819.09,-1.0,85.41375662715616,5448321.044143694,5448321.044143694,25.974979691636857,6.900659175865945,25413.11266230441,90.0,34.36815504776468
1306893793.23,1.9135911,6.5362335,545.87,-1.0,4.2,171.5,290868.47,-54926.11,-1.0,86.3707339210221,5302341.122567026,5302341.122567026,23.845293769159458,7.177779773715363,25426.05611577812,89.30000000000001,34.368629675936155
1306893793.65,1.9136467,6.5359129,545.87,-0.2,4.2,171.5,290875.06,-54961.46,-1.0,85.61668153906831,4950659.9730090285,4950659.9730090285,22.580722673708774,7.350027116247514,24903.82390724259,90.6,34.3690583723491
1306893794.71,1.9137902,6.5350925,545.95,-0.2,4.2,171.4,290891.94,-55051.9,-1.0,86.79417201864113,4585027.052082333,4585027.052082333,22.213910231683688,7.628940019363804,25277.136502537003,92.2,34.36939520524499
1306893795.13,1.9138462,6.534775,545.95,-0.2,4.2,171.4,290898.53,-55086.9,-1.0,84.79759946567313,4238668.182133641,4238668.182133641,21.752045281289085,7.830741998079058,25513.583205962936,92.10000000000001,34.369701416968525
1306893796.18,1.9139894,6.5339688,545.95,-0.2,4.2,171.3,290915.31,-55175.78,-1.0,86.14296792784124,3880554.5928935832,3880554.5928935832,20.832248557067324,7.961260432966087,25462.70436996225,89.8,34.36990810988191
1306893796.39,1.9140191,6.5338028,545.95,-0.2,4.2,171.3,290918.78,-55194.07,-1.0,88.64882359614687,3936765.3071888606,3936765.3071888606,21.447023067505576,7.796504436402355,25938.77332662772,91.7,34.37009183691603
