flight id:c01
flight code:F-16A
origin:US
date:2011-06-01
from:krymsk
to:vaziani
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893618.35,7.6263205,5.5102194,-3.28084,-1.0,-0.3,-1.0,2492309.79104,-411609.1667148,-1.0,71.10326574127114,300901.2380316802,298.2110937003317,0.07299131737398847,3.730352514668266,83.8,0.3133145406768272
1306893621.77,7.627506,5.5106622,-3.28084,-1.0,-0.4,-1.0,2492603.6230704,-411407.0341624,-1.0,71.10326574127114,225675.20438406666,297.3056407407798,0.07191068960959622,3.7086884365858257,84.0,0.3100025546750774
1306893623.55,7.6283144,5.5109642,-3.28084,-1.0,-0.5,-1.0,2492803.9839692,-411269.2388824,-1.0,93.1477412265738,150450.01532180622,296.11969042343156,0.06991977262731493,3.726560451798092,83.3,0.30669072177918943
1306893624.66,7.6288805,5.5111756,-3.28084,-1.0,-0.6,-1.0,2492944.2398792,-411172.7165696,-1.0,104.58492861912285,75225.46724174757,296.6999640294517,0.06963891632088422,3.77638920467103,85.6,0.3033788888833014
1306893625.53,7.6293664,5.5113571,-3.28084,-1.0,-0.7,-1.0,2493064.5810904,-411089.8753596,-1.0,114.50026509898147,328.07643654071876,296.0897740838386,0.07019935764210046,3.8941729649587438,84.5,0.3000670559874134
1306893626.19,7.6297489,5.5115,1416.0761608,-1.0,-0.8,-1.0,2493159.5286,-411024.619452,-1.0,1471.1420313393608,328.07643654071876,296.0897740838386,0.07019935764210046,3.894172964958744,84.5,0.30006705598741346
1306893627.27,7.6304235,5.5117519,1416.0761608,-1.0,-0.9,-1.0,2493326.6545896,-410909.62601,-1.0,128.0755819073626,75225.46724174752,296.6999640294517,0.06963891632088423,3.776389204671029,85.60000000000001,0.3033788888833015
1306893628.76,7.6314206,5.5121243,1416.0761608,-1.0,-1.0,-1.0,2493573.73465,-410739.64568960003,-1.0,137.23838774695605,150450.01532180622,296.11969042343156,0.06991977262731493,3.726560451798093,83.30000000000001,0.30669072177918955
1306893630.04,7.6323564,5.5124738,1416.0761608,-1.0,-1.1,-1.0,2493805.4603792,-410580.0984404,-1.0,149.86571804653693,225675.20438406663,297.3056407407798,0.0719106896095962,3.7086884365858266,84.00000000000001,0.31000255467507754
1306893630.47,7.6326853,5.5125966,1416.1417775999998,-1.0,-0.9,-1.0,2493887.05487,-410524.0288848,-1.0,156.98487172198128,300901.2380316802,298.2110937003317,0.07299131737398847,3.7303525146682657,83.80000000000001,0.3133145406768273
1306893630.68,7.6328527,5.5126591,1416.3058196,-1.0,1.1,-1.0,2493928.4918792,-410495.4855768,-1.0,163.37061634524628,300904.632584873,298.1592197232409,0.07063888290301762,3.733827589314624,86.4,0.31662690944323146
1306893630.9,7.6330211,5.512722,1416.4370532,-1.0,2.7,-1.0,2493970.3225892,-410466.77822680003,-1.0,157.2378841829231,225687.0999182795,298.8065437808623,0.0726439189055166,3.7328738408912403,89.20000000000002,0.31993958442135917
1306893631.11,7.6331946,5.5127868,1416.5354783999999,-1.0,3.9,-1.0,2494013.1703596,-410437.21785839996,-1.0,169.01575327154953,150487.83770883718,298.4641665440271,0.07234322865969642,3.725258466264155,91.3,0.3232524890582795
1306893631.33,7.6333709,5.5128526,1416.6339036000002,-1.0,4.9,-1.0,2494056.83834,-410407.165364,-1.0,164.29168214585638,75300.5699691658,296.97606739372884,0.07196745353741944,3.68233317902596,91.1,0.3265656233539926
1306893631.54,7.6335409,5.5129161,1416.6995204,-1.0,5.8,-1.0,2494099.0955592,-410378.1627384,-1.0,166.40925432923655,3722.8745107853583,297.81734409523244,0.07515284044206605,3.6033529370252086,90.5,0.32987891075556747
1306893631.75,7.6337086,5.5129788,1416.7651372,-1.0,6.4,-1.0,2494140.6966104,-410349.58662200003,-1.0,163.8690818292845,4670.57015073055,297.3336142130193,0.07505393286511167,3.6450931030655838,92.8,0.3298805183671159
1306893631.96,7.6338889,5.5130461,1416.7979455999998,-1.0,7.0,-1.0,2494185.2176092,-410318.84515119996,-1.0,175.66477114821964,5614.706426413552,296.81795270589464,0.07621095046447605,3.711389390664521,91.80000000000001,0.3298822025315954
1306893632.18,7.6340711,5.5131141,1416.830754,-1.0,7.4,-1.0,2494230.5260095997,-410287.7755964,-1.0,170.26681240938098,5835.652049123862,296.6339815492298,0.07391497556726224,3.73438686434859,94.7,0.32988396324900576
