flight id:901
flight code:F-15C
origin:US
date:2011-06-01
from:krasnodar pashkovsky
to:mozdok
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.408162940600709
drag coef:0.016385370250972982

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631.32,6.4752918,4.1768605,155.7414748,-1.0,4.0,-1.0,2242033.9956296,-935127.8842547999,-1.0,161.03081458591575,3064.291732113353,3064.291732113353,298.1425570217709,0.07789392158041056,3.943548499596089,92.40000000000002,0.351363754948447
1306893631.74,6.475647,4.1769052,155.8399,-1.0,5.8,-1.0,2242128.51663,-935100.8173248,-1.0,161.03081458591575,3111.3684292160838,3111.3684292160838,300.28474315411404,0.07611122648507984,3.932064724796007,95.8,0.35122328032027544
1306893632.16,6.4760197,4.1769521,155.9383252,-1.0,6.9,-1.0,2242227.76204,-935072.3068252001,-1.0,169.02040226871742,3267.0748501443018,3267.0748501443018,301.7403732190601,0.07367014522853448,3.93584939304024,95.80000000000001,0.35119174051275137
1306893632.58,6.4763879,4.1769985,155.9711336,-1.0,7.7,-1.0,2242325.7935392,-935044.2228347999,-1.0,166.9484099148005,3193.4259245284566,3193.4259245284566,301.36741678586463,0.07271806207534304,3.9133517030019913,95.49999999999999,0.3511720664095143
1306893633.01,6.4767784,4.1770476,155.9711336,-1.0,8.2,-1.0,2242429.7305504,-935014.4984243999,-1.0,172.80861031403637,3443.355840735891,3443.355840735891,303.01788418461376,0.07386677802217628,3.8528349146942955,94.50000000000001,0.3511612724462597
1306893634.5,6.4781979,4.1772264,158.2021048,-1.0,9.7,-1.0,2242807.4536595996,-934906.1322792,-1.0,181.18971502558833,3443.3558407358923,3443.3558407358923,303.01788418461376,0.07386677802217628,3.8528349146942955,94.50000000000001,0.3511612724462598
1306893634.92,6.4786099,4.1772783,160.597118,-1.0,9.9,-1.0,2242917.1649492,-934874.6362152001,-1.0,186.69430186524684,3193.4259245284557,3193.4259245284557,301.36741678586463,0.07271806207534302,3.9133517030019913,95.5,0.3511720664095143
1306893635.36,6.4790541,4.1773343,164.40289239999998,-1.0,10.1,-1.0,2243035.2751892,-934840.7123296,-1.0,191.8589727311729,3267.074850144303,3267.074850144303,301.7403732190601,0.07367014522853448,3.9358493930402405,95.8,0.35119174051275137
1306893635.79,6.4794954,4.1773901,169.455386,-1.0,10.3,-1.0,2243152.7620695997,-934806.8868692,-1.0,195.35475884990876,3111.3684292160833,3111.3684292160833,300.28474315411404,0.07611122648507983,3.932064724796007,95.80000000000001,0.35122328032027544
1306893637.95,6.4818114,4.1776862,216.04331399999998,0.1,10.3,-1.0,2243768.93663,-934628.47479,-1.0,204.32060098468077,3064.291732113353,3064.291732113353,298.1425570217709,0.07789392158041056,3.943548499596089,92.4,0.3513637549484469
1306893639.24,6.4833337,4.1778852,263.45145199999996,0.1,10.5,-1.0,2244173.9235195997,-934509.54434,-1.0,225.7161178437133,3422.140827142619,3422.140827142619,297.38541886769355,0.07864518153102956,3.9106039122433622,91.89999999999999,0.35161507822053795
1306893640.09,6.4844059,4.1780283,304.69161080000003,0.3,10.4,-1.0,2244458.9300904004,-934424.6690092001,-1.0,241.9767730098737,3945.730851043502,3945.730851043502,296.29508337717584,0.07829890436938752,3.946324552129853,90.60000000000001,0.35196239886795694
1306893640.51,6.4849556,4.1781027,328.0511916,0.3,10.4,-1.0,2244604.9274704,-934380.8697952001,-1.0,251.45547462613632,4419.532978900504,4419.532978900504,296.3965937928098,0.07822670009202704,3.933137107009564,90.9,0.35236399554337255
1306893640.95,6.4855435,4.1781833,354.5275704,0.3,10.3,-1.0,2244761.1938795997,-934333.4944656001,-1.0,257.41887090741943,5141.89718286595,5141.89718286595,298.38650243928817,0.08003079663674768,3.982676025551187,92.80000000000001,0.35282729388108036
1306893641.37,6.4861146,4.1782624,381.4960752,0.3,10.2,-1.0,2244912.9327296,-934287.26743,-1.0,262.2633904636833,5812.161261140746,5812.161261140746,296.40838305606684,0.07895423838529712,3.976541969064086,93.20000000000002,0.35335351872797444
1306893641.79,6.4867081,4.1783456,410.13780840000004,0.3,10.0,-1.0,2245070.6099,-934238.87504,-1.0,272.7887335141105,6753.481716229675,6753.481716229675,295.8773892935681,0.07743150725445394,3.9491286671450814,92.70000000000002,0.3539413686842299
1306893642.22,6.4873195,4.1784323,439.5341348,0.8,9.6,-1.0,2245232.8146296,-934188.6453796,-1.0,274.2487010212896,7611.893357042005,7611.893357042005,296.45529063368514,0.07627790625461371,3.87102043900862,93.20000000000002,0.35459222170260263
1306893642.64,6.4879335,4.1785203,468.33991,0.9,9.2,-1.0,2245395.8395692,-934137.8907847999,-1.0,282.0726459027381,9095.72821434238,9095.72821434238,296.8523742323004,0.07574381974075445,3.9117557068622126,94.80000000000001,0.35530140805430865
1306893643.06,6.4885637,4.1786115,496.4895172,1.1,8.8,-1.0,2245563.1624092,-934085.3973448,-1.0,289.2723946531708,10601.325887078707,10601.325887078707,298.1464542592254,0.0769532117185345,3.9228610285511403,94.60000000000001,0.35606448766935683
