flight id:1301
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:krasnodar center
to:vaziani
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306895790.71,4.5661277,5.1060403,22.49,-1.0,0.1,28.9,516241.13,-197657.56,-1.0,6.258344328512352,25697.930661817292,28.03831181968932,7.280181794641227,24408.47877531092,89.67850391194776,31.273339816328843
1306895793.37,4.5662299,5.1061693,22.48,-1.0,-1.0,30.8,516248.16,-197642.47,-1.0,6.258344328512352,24093.416429619174,28.38955748048656,7.330170855872736,24835.42226854455,89.87733040359707,31.27333981632884
1306895795.85,4.566338,5.1063004,22.48,-1.0,-0.1,32.1,516255.63,-197627.09,-1.0,6.8943983673356,28829.965698913504,26.49965663945324,7.41410367426208,24874.518477071437,89.42312677991994,31.273332161035754
1306895796.68,4.5663608,5.1063253,22.48,-1.0,-0.9,36.6,516257.25,-197624.17,-1.0,4.023229768111628,25218.172336853866,28.73165284487306,7.392974153103571,24959.821760567556,91.29339855907068,31.27332450574266
1306895798.62,4.5664354,5.1063659,22.49,-1.0,-0.4,73.2,516262.91,-197619.11,-1.0,3.9134308076603914,25188.78422017479,27.464629728655513,7.466392932930818,25184.469323087844,93.18071004152237,31.273324505742664
1306895802.2,4.5666026,5.1063423,22.49,-1.0,-0.6,120.4,516276.75,-197620.5,-1.0,3.8853702607020786,25188.784220174795,27.46462972865552,7.466392932930819,25184.469323087844,93.18071004152236,31.273324505742664
1306895802.72,4.5666285,5.1063305,22.49,-1.0,-0.1,122.9,516278.97,-197621.61,-1.0,4.773145280834712,25218.17233685386,28.73165284487306,7.392974153103572,24959.821760567545,91.29339855907067,31.273324505742657
1306895803.87,4.5667116,5.1062884,22.49,-1.0,-0.5,125.7,516286.16,-197625.67,-1.0,7.180087828093806,28829.965698913504,26.49965663945324,7.41410367426208,24874.518477071433,89.42312677991994,31.273332161035746
1306895806.04,4.5668939,5.1061958,22.49,-1.0,-0.5,122.9,516301.94,-197634.63,-1.0,8.362372745238831,24093.416429619167,28.389557480486562,7.330170855872735,24835.42226854455,89.87733040359707,31.273339816328836
1306895809.93,4.5672364,5.1060494,22.48,-1.0,-0.6,119.5,516331.31,-197648.36,-1.0,8.33440211391591,25697.930661817285,28.03831181968932,7.280181794641226,24408.478775310916,89.67850391194774,31.273339816328832
1306895810.51,4.5672873,5.1060283,22.48,-1.0,-0.1,119.7,516335.66,-197650.33,-1.0,8.233260681383939,39945.11803422901,27.35878718541028,7.291862090034995,24272.935123546187,89.36616427492848,31.273332161035746
1306895811.83,4.5674042,5.105979,22.48,-1.0,-0.1,120.2,516345.69,-197654.94,-1.0,8.362655448824981,52066.11585440013,29.40275509081298,7.469760977327562,23964.874004054644,89.8116164766844,31.27333216103575
1306895814.46,4.5676355,5.1058795,22.49,-1.0,-0.4,120.6,516365.5,-197664.28,-1.0,8.327532304350125,52856.71503803896,28.869424231043887,7.14906401996915,23997.751724152524,90.18922462446544,31.273339816328843
1306895816.72,4.5678336,5.1057935,22.49,-1.0,-0.9,120.6,516382.5,-197672.38,-1.0,8.33234132364712,37213.49190939353,26.992374721156402,7.282484765201287,24311.08442111023,89.75780118000691,31.273347471621925
1306895817.44,4.5678968,5.105766,22.49,-1.0,-0.7,120.6,516387.94,-197674.95,-1.0,8.356275955579777,19697.462358105582,25.760230389940034,7.132520061525113,24228.56694244739,87.77517067532656,31.273347471621925
1306895819.0,4.5680337,5.1057069,22.49,-1.0,0.0,120.5,516399.69,-197680.52,-1.0,8.335488192892154,4256.910783315439,25.438366783229597,7.1325709023585,24729.890568508097,87.54911396430535,31.273347471621918
1306895822.13,4.5683096,5.1055891,22.49,-1.0,-0.6,120.2,516423.31,-197691.56,-1.0,8.329937725863495,7877.116948521741,23.178294662884475,7.247926155351566,25195.06805637713,88.96377925551212,31.273347471621918
1306895824.81,4.5685455,5.1054879,22.49,-1.0,-0.7,120.2,516443.56,-197701.06,-1.0,8.346144712182564,10528.761300153847,25.910394741955315,7.251136049068942,25111.418047050734,90.10952619102194,31.273347471621918
1306895827.69,4.5687984,5.1053792,22.49,-1.0,-0.3,120.2,516465.25,-197711.28,-1.0,8.325404607102561,10553.063628695343,24.956316549594817,7.16650033538288,25020.803786157492,92.35933135888207,31.273347471621918
1306895831.42,4.5691265,5.1052381,22.49,-1.0,-0.1,120.6,516493.38,-197724.53,-1.0,8.33629026116859,10452.292114408341,26.506916070830826,7.3785426188266,25882.779963583358,94.00289447536579,31.273355126915007
1306895832.06,4.5691821,5.105214,22.49,-1.0,-0.3,120.6,516498.13,-197726.8,-1.0,8.22584822452939,10900.485921076728,25.601892130229793,7.411116353023658,25624.80900517017,93.37162394076647,31.273362782208096
1306895833.44,4.5693037,5.1051615,22.49,-1.0,-0.7,120.5,516508.56,-197731.73,-1.0,8.359749496217475,11889.689687969085,23.78025839219442,7.1700319331198195,25493.449661182385,93.15276642348502,31.273370437501185
1306895836.33,4.5695576,5.1050529,22.48,-1.0,-0.7,120.2,516530.34,-197741.92,-1.0,8.320375921734156,12534.612071235675,25.92705655404834,7.228419391236008,24783.077082565138,93.38557301723495,31.2733627822081
1306895839.02,4.5697949,5.1049511,22.48,-1.0,0.1,120.2,516550.69,-197751.47,-1.0,8.35666712568156,13209.026013798673,25.850964707234823,6.965314421627199,24439.448829483583,93.6719958637877,31.273355126915014
1306895839.95,4.5698763,5.104916,22.48,-1.0,-0.5,120.2,516557.66,-197754.78,-1.0,8.296797567111005,13551.302050977562,27.327710382261415,6.969440317769936,24823.69649215213,94.11448839191301,31.27334747162193
1306895841.99,4.5700556,5.1048388,22.48,-1.0,-0.7,120.4,516573.03,-197762.03,-1.0,8.330440830220844,13421.285367565244,27.56217984277221,7.096564113984059,24463.616346080875,95.22480337502951,31.27333981632884
1306895846.08,4.5704152,5.1046843,22.48,-1.0,-0.7,120.5,516603.88,-197776.53,-1.0,8.334405487710923,12718.824261663183,27.55277118493384,7.079251175412015,24406.650066753366,95.86214551431694,31.27333216103575
1306895848.0,4.5705843,5.1046114,22.48,-1.0,-0.7,120.5,516618.38,-197783.39,-1.0,8.354620915004508,12479.136575797187,25.524725260408317,6.895909544862081,24896.588672373968,96.68335012196513,31.273324505742664
1306895850.98,4.5708461,5.1044992,22.49,-1.0,-0.2,120.5,516640.81,-197793.91,-1.0,8.313587501494645,12279.078377418997,24.791556951494996,6.840060971081575,24359.737414432657,95.71205186957681,31.273324505742664
1306895853.68,4.5710834,5.1043969,22.49,-1.0,-0.6,120.5,516661.19,-197803.53,-1.0,8.346810353724686,11755.661033308144,24.536942187112643,6.509327728694841,24025.665943369408,95.2531348523171,31.273324505742664
1306895854.64,4.5711677,5.1043605,22.49,-1.0,-0.3,120.5,516668.41,-197806.95,-1.0,8.321918935774063,11865.982825320134,24.415117565894263,6.393455018648697,24312.331137427336,94.92626784470262,31.273324505742657
1306895856.56,4.5713362,5.1042882,22.48,-1.0,-0.7,120.2,516682.88,-197813.73,-1.0,8.322738106987455,11720.118097936676,24.40017005113225,6.633385162645096,24997.788835333013,95.84258582515679,31.27331685044957
