flight id:1401
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:mineralnyevody
to:nalchik
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306895825.72,4.5673877,5.1054899,-1.0,-1.0,0.1,28.9,516349.28,-197709.41,-1.0,13.163468967903158,92873.40205564519,25.11984595792346,7.992801570902841,24780.05720196364,89.50187481629516,34.652067036068985
1306895827.69,4.5674547,5.1055754,22.48,-1.0,-0.7,30.5,516353.88,-197699.41,-1.0,13.163468967903158,260814.64273305296,25.46021624260557,7.753613507945528,25173.749103330967,90.38723327221405,34.65205938077589
1306895831.42,4.5676132,5.1057672,22.48,-1.0,-0.7,33.9,516364.84,-197676.92,-1.0,6.707353104779557,518106.867309718,24.785152592929368,7.612475554350237,25136.06939143385,90.24578974347966,34.6520517254828
1306895832.06,4.5676312,5.1057856,22.48,-1.0,-1.0,38.9,516366.13,-197674.75,-1.0,3.9445010486765786,775483.6264792605,22.481379807463483,7.583149423454474,25732.278223346035,89.86312282575376,34.6520517254828
1306895833.44,4.5676831,5.1058168,22.48,-1.0,-0.4,64.6,516370.03,-197670.89,-1.0,3.97624714789206,947569.3754267837,21.569912430324543,7.56566627304442,25460.102438240934,90.66940166886329,34.6520517254828
1306895836.33,4.5678202,5.1058154,22.48,-1.0,-0.7,111.6,516381.19,-197670.03,-1.0,3.873040716064971,947569.3754267837,21.569912430324543,7.565666273044421,25460.102438240934,90.66940166886326,34.652051725482806
1306895839.02,4.5679705,5.105747,22.48,-1.0,-0.6,125.8,516394.13,-197676.53,-1.0,5.383197314046886,775483.6264792605,22.481379807463483,7.583149423454474,25732.278223346035,89.86312282575376,34.652051725482806
1306895839.95,4.5680472,5.1057066,22.48,-1.0,-0.6,125.4,516400.78,-197680.44,-1.0,8.294957873002534,518106.8673097181,24.78515259292937,7.612475554350237,25136.06939143385,90.24578974347968,34.652051725482806
1306895841.99,4.5682208,5.1056228,22.49,-1.0,-0.0,121.3,516415.75,-197688.47,-1.0,8.327303337262013,260814.64273305298,25.460216242605572,7.753613507945529,25173.74910333097,90.38723327221403,34.652059380775896
1306895846.08,4.5685831,5.1054718,22.49,-1.0,-0.2,119.8,516446.78,-197702.58,-1.0,8.334335554228966,92873.40205564522,25.119845957923463,7.992801570902841,24780.05720196364,89.50187481629516,34.65206703606898
1306895846.62,4.5686309,5.1054517,22.49,-1.0,-0.2,120.0,516450.88,-197704.45,-1.0,8.345033528910363,44580.710561408334,24.262831164957596,7.6134485247805115,24580.195805472056,91.43306504045813,34.67004931953354
