flight id:2e01
flight code:F-16A
date:2011-06-01
from:sochi-adler
to:krymsk
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:1.9932750994631374
drag coef:0.09672511727670352

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading
1306893600.46,6.9086674,3.0947111,23985.8275392,0.7,2.2,-1.0,2405443.6137196,-1316473.2376652001,-1.0
1306893600.68,6.9086574,3.0951398,23984.088694000002,0.7,2.4,-1.0,2405422.6819604,-1316317.1024896,-1.0
1306893601.12,6.9086376,3.0959968,23979.6923684,-0.2,2.9,-1.0,2405381.47461,-1316004.9961804,-1.0
1306893601.76,6.9086087,3.097242,23972.6385624,-0.8,3.4,-1.0,2405321.2055792,-1315551.4200504,-1.0
1306893602.39,6.9085797,3.0984668,23966.2409244,-1.5,3.8,-1.0,2405261.9208004,-1315105.4554692,-1.0
1306893602.6,6.9085698,3.098875,23964.403654,-1.8,3.9,-1.0,2405242.03891,-1314956.7678004,-1.0
1306893603.26,6.9085375,3.1001572,23959.810478,-2.4,4.2,-1.0,2405179.5060996,-1314489.87146,-1.0
1306893603.93,6.9085023,3.1014585,23956.9889556,-3.0,4.4,-1.0,2405115.1032104003,-1314016.2165892,-1.0
1306893604.14,6.9084909,3.1018546,23956.496829599997,-3.2,4.4,-1.0,2405095.4181704,-1313871.9580543998,-1.0
1306893604.58,6.9084655,3.1027071,23955.9390868,-3.5,4.4,-1.0,2405052.7672504,-1313561.5905904,-1.0
1306893605.05,6.9084365,3.1036257,23956.070320400002,-3.8,4.6,-1.0,2405006.2449392,-1313227.3714196,-1.0
1306893605.3,6.9084204,3.1041092,23956.3984044,-4.0,4.6,354.2,2404981.4089804003,-1313051.4199704,-1.0
1306893606.02,6.9083707,3.1055114,23958.170058,-4.3,4.6,354.2,2404909.03365,-1312541.3477756002,-1.0
1306893606.25,6.9083536,3.1059658,23958.9574596,-4.4,4.6,354.0,2404885.24756,-1312375.9934396,-1.0
1306893606.7,6.9083195,3.1068321,23960.6634964,-4.6,4.6,353.9,2404839.5126504004,-1312061.0327996,-1.0
1306893607.17,6.9082817,3.1077411,23962.6976172,-4.6,4.6,353.8,2404790.92341,-1311730.4881696,-1.0
1306893607.47,6.9082565,3.10832,23964.07557,-4.8,4.6,353.8,2404759.75543,-1311519.9894752002,-1.0
1306893608.13,6.9081968,3.1096157,23967.323601599997,-4.8,4.5,353.6,2404689.0205196,-1311049.09051,-1.0
1306893608.58,6.908154,3.1104918,23969.5545728,-4.8,4.5,353.5,2404640.4312792,-1310730.7506048,-1.0
1306893609.41,6.9080701,3.1120984,23973.590006,-4.8,4.5,353.3,2404549.9785204004,-1310147.0563604,-1.0
1306893609.7,6.9080391,3.1126618,23974.9351504,-4.8,4.4,353.2,2404517.79348,-1309942.4303696,-1.0
1306893610.57,6.9079412,3.114348,23978.8065416,-4.8,4.4,353.0,2404419.9916395997,-1309330.2256256,-1.0
1306893610.93,6.9078978,3.115057,23980.315727999998,-4.8,4.4,352.9,2404378.35778,-1309072.9093443998,-1.0
1306893611.36,6.9078458,3.1158805,23981.956147999997,-4.8,4.3,352.8,2404329.5716892,-1308774.0248204,-1.0
1306893611.79,6.9077905,3.1167273,23983.563759599998,-4.8,4.3,352.8,2404278.7186692,-1308466.7741544,-1.0
1306893612.23,6.9077336,3.1175721,23985.0401376,-4.8,4.3,352.8,2404227.6359904003,-1308160.31089,-1.0
1306893612.72,6.9076674,3.1185217,23986.549324,-4.6,4.3,352.5,2404169.6307392,-1307815.82269,-1.0
1306893613.26,6.907591,3.1195818,23988.1241272,-4.5,4.2,352.4,2404104.0139392,-1307431.4394756001,-1.0
1306893613.99,6.9074854,3.1209892,23989.9285892,-4.3,4.2,352.3,2404015.82496,-1306921.1704304,-1.0
1306893614.89,6.9073474,3.1227436,23991.8642848,-4.1,4.2,352.1,2403904.2764,-1306285.31083,-1.0
1306893615.88,6.9071895,3.1246548,23993.5703216,-3.9,4.2,351.9,2403780.6215404,-1305592.9551648,-1.0
1306893616.92,6.9070144,3.1266739,23994.9810828,-3.6,4.1,351.7,2403647.55067,-1304861.6231204,-1.0
1306893618.13,6.9068017,3.1290162,23996.2606104,-3.2,4.1,351.5,2403490.6937096,-1304013.6244056001,-1.0
1306893619.41,6.9065655,3.1315011,23997.2448624,-2.9,4.1,351.5,2403321.3039404,-1303114.2805448,-1.0
1306893620.72,6.9063142,3.1340413,23997.999455600002,-2.6,4.1,351.2,2403145.58215,-1302195.3500692,-1.0
1306893622.08,6.9060435,3.1366814,23998.5571984,-2.2,4.1,351.0,2402960.21469,-1301240.3959704,-1.0
1306893623.53,6.9057474,3.1394794,23998.9837076,-1.9,4.1,350.9,2402761.1005104003,-1300228.7817648,-1.0
1306893624.97,6.9054437,3.1422727,23999.278983199998,-1.7,4.1,350.9,2402560.1490604,-1299219.1032548,-1.0
1306893626.41,6.905135,3.1450479,23999.4758336,-1.4,4.1,350.9,2402358.8039096,-1298216.1832752002,-1.0
1306893627.92,6.9048026,3.1479791,23999.6398756,-1.2,4.1,350.9,2402144.10574,-1297157.0953147998,-1.0
1306893629.79,6.9043846,3.1516002,23999.7711092,-0.9,4.1,350.9,2401876.9141304,-1295848.8603647999,-1.0
1306893632.24,6.9038282,3.1563343,23999.8695344,-0.7,4.1,350.9,2401525.0440404,-1294138.9193652,-1.0
1306893635.97,6.9029645,3.1635536,23999.9351512,-0.4,4.1,350.9,2400984.1319496,-1291531.8982843999,-1.0
1306893646.62,6.9004509,3.1841359,23999.9351512,-0.4,4.1,350.9,2399427.7670704,-1284100.7956844,-1.0
1306893650.1,6.899624,3.1908496,23999.9351512,-0.0,4.1,350.9,2398918.21981,-1281677.0751343998,-1.0
1306893672.21,6.8943451,3.2335903,23999.9351512,1.2,4.1,350.2,2395670.6147192,-1266247.7767404,-1.0
1306893676.45,6.8935719,3.2417663,24001.313104,8.8,4.1,352.9,2395114.7091896,-1263288.7871444,-1.0
1306893680.69,6.8931099,3.2498407,23999.3446,0.1,4.4,352.9,2394648.6330592,-1260357.0285204,-1.0
1306893685.05,6.8925841,3.2580055,23999.311791599997,0.1,4.6,352.4,2394161.1986604,-1257394.3315752002,-1.0
1306893689.8,6.8919426,3.2667042,23999.5742588,0.1,4.8,351.8,2393619.4663596,-1254240.4272748,-1.0
