flight id:2f01
flight code:F-16A
date:2011-06-01
from:mineralnyevody
to:nalchik
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:1.9932750994631374
drag coef:0.09672511727670352

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading
1306893600.46,7.08253,3.9315259,30985.8605716,0.7,-1.0,-1.0,2417455.1626604004,-1005563.7132804,-1.0
1306893601.12,7.0809189,3.9317329,30978.8067656,-0.2,1.6,-1.0,2417007.13115,-1005540.3536996,-1.0
1306893601.76,7.0793586,3.9319334,30968.8658204,-0.8,1.7,-1.0,2416573.4369104,-1005517.6830952001,-1.0
1306893602.39,7.0778235,3.9321302,30957.514114,-1.4,1.7,-1.0,2416146.73086,-1005495.5374252001,-1.0
1306893602.6,7.0773118,3.9321957,30953.577105999997,-1.7,1.9,275.5,2416004.4408292,-1005488.2539604,-1.0
1306893603.26,7.0757037,3.9324006,30941.109914,-2.3,1.9,275.5,2415557.4263792,-1005465.5177392,-1.0
1306893603.93,7.0740704,3.9326071,30928.7739556,-2.9,2.2,275.5,2415103.6205904,-1005442.94556,-1.0
1306893604.14,7.0735729,3.9326696,30925.165031599998,-3.1,2.2,275.5,2414965.4316096,-1005436.2854547999,-1.0
1306893604.58,7.0725019,3.9328034,30917.651908000003,-3.4,2.2,275.5,2414667.6953796,-1005422.1450343999,-1.0
1306893605.05,7.0713472,3.9329464,30910.040359199997,-3.7,2.2,275.2,2414346.9932696,-1005407.2828292,-1.0
1306893605.3,7.0707391,3.9330211,30906.2673932,-3.8,2.5,275.2,2414178.22686,-1005399.6712804,-1.0
1306893606.02,7.0689745,3.9332357,30896.129597599996,-4.1,2.5,275.0,2413688.1677892,-1005378.4442456,-1.0
1306893606.25,7.0684022,3.9333045,30893.1440332,-4.2,2.7,275.0,2413529.2438995996,-1005371.7841404,-1.0
1306893606.7,7.0673109,3.9334346,30887.796264,-4.4,2.8,274.9,2413226.3895592,-1005359.7106492,-1.0
1306893607.17,7.066165,3.9335696,30882.6781536,-4.5,2.8,274.8,2412908.3449295997,-1005347.4074992,-1.0
1306893607.47,7.065435,3.9336548,30879.659780800004,-4.5,2.9,274.7,2412705.7530596,-1005339.8943756,-1.0
1306893608.13,7.0638002,3.9338431,30873.623035200002,-4.5,2.9,274.6,2412252.1769295996,-1005324.1135352001,-1.0
1306893608.58,7.0626944,3.9339685,30870.0469196,-4.5,2.9,274.5,2411945.61524,-1005314.0741647999,-1.0
1306893609.41,7.0606662,3.9341946,30864.4038748,-4.5,3.1,274.3,2411383.3776892,-1005297.0466052,-1.0
1306893609.7,7.0599548,3.9342727,30862.6650296,-4.5,3.1,274.3,2411186.10078,-1005291.6332192,-1.0
1306893610.57,7.0578253,3.9345027,30858.1702788,-4.5,3.2,274.3,2410595.9760892,-1005276.44293,-1.0
1306893610.93,7.0569297,3.9345978,30856.5626672,-4.4,3.2,274.0,2410347.84616,-1005270.70146,-1.0
1306893611.36,7.0558891,3.9347071,30854.889438799997,-4.4,3.2,273.9,2410059.7555996,-1005264.3366304,-1.0
1306893611.79,7.054819,3.9348182,30853.3146356,-4.4,3.2,273.8,2409763.4629392,-1005258.39831,-1.0
1306893612.23,7.0537512,3.9349278,30851.9366828,-4.4,3.2,273.7,2409467.76083,-1005252.8536904,-1.0
1306893612.72,7.0525507,3.9350495,30850.525921599998,-4.1,3.2,273.7,2409135.57578,-1005247.2106456001,-1.0
1306893613.26,7.0512102,3.9351835,30849.1807772,-4.0,3.2,273.7,2408764.6440096,-1005241.6004092001,-1.0
1306893613.99,7.0494299,3.9353586,30847.6387824,-3.8,3.2,273.4,2408272.0915004,-1005235.1371543999,-1.0
1306893614.89,7.0472097,3.9355725,30846.0967876,-3.6,3.2,273.4,2407657.9838692,-1005228.7723247999,-1.0
1306893615.88,7.0447901,3.9358004,30844.751643199997,-3.4,3.2,273.1,2406989.08621,-1005223.6542143999,-1.0
1306893616.92,7.0422325,3.9360356,30843.668965999997,-3.1,3.2,273.1,2406282.06519,-1005220.2749492,-1.0
1306893618.13,7.0392642,3.936302,30842.717522400002,-2.9,3.2,272.8,2405462.0520404,-1005218.8313796,-1.0
1306893619.41,7.0361135,3.9365776,30841.9957376,-2.6,3.2,272.6,2404591.8092304002,-1005219.7500147999,-1.0
1306893620.72,7.0328912,3.9368526,30841.4379948,-2.3,3.2,272.5,2403702.3078896,-1005223.2277052001,-1.0
1306893622.08,7.0295406,3.9371322,30841.044294,-2.0,3.2,272.5,2402777.5047104,-1005229.1660256,-1.0
1306893623.53,7.025988,3.9374222,30840.71621,-1.7,3.2,272.2,2401797.15691,-1005237.6962096,-1.0
1306893624.97,7.02244,3.9377061,30840.519359600003,-1.5,3.2,272.1,2400818.4495296,-1005248.3589396,-1.0
1306893626.41,7.0189139,3.9379835,30840.3553176,-1.3,3.2,272.0,2399846.0741704004,-1005260.5636643999,-1.0
1306893627.92,7.0151883,3.938272,30840.2568924,-1.1,3.2,272.0,2398818.7775495998,-1005275.0977856001,-1.0
1306893629.79,7.0105845,3.9386232,30840.1584672,-0.9,3.2,272.0,2397549.7158292,-1005295.0124844,-1.0
1306893632.24,7.0045638,3.9390751,30840.092850399997,-0.6,3.2,272.0,2395890.2013404,-1005323.4901756,-1.0
1306893635.97,6.9953795,3.939753,30840.0272336,-0.4,3.2,272.0,2393359.2629392,-1005371.0623556001,-1.0
1306893710.43,6.8121674,3.9527277,30840.0272336,-0.4,3.2,271.4,2342908.7363904,-1006461.4495296,-1.0
