flight id:3a01
flight code:F-15C
date:2011-06-01
from:sochi-adler
to:novorossiysk
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.0583709594132906
drag coef:0.2864043575466675

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading
1306893600.46,6.9612613,4.3367752,25991.142564,6.4,3.6,-1.0,2366998.7305996,-861631.0315092,-1.0
1306893600.68,6.9614851,4.3372331,25988.845975999997,17.1,5.5,17.2,2367039.5442492,-861456.8189052001,-1.0
1306893601.12,6.9618774,4.3381134,25982.0218288,38.1,8.1,17.8,2367107.8185296,-861123.1902856,-1.0
1306893601.76,6.9623741,4.3393888,25972.933902,45.5,9.2,19.3,2367187.1820492,-860642.0550996,-1.0
1306893602.39,6.9628168,4.3405953,25967.7173664,52.7,11.9,21.1,2367254.83297,-860187.7571847999,-1.0
1306893602.6,6.9629552,4.3409821,25966.962773199997,54.2,12.5,21.8,2367275.5350704,-860042.2191223999,-1.0
1306893603.26,6.9633956,4.3421724,25966.8971564,56.1,13.1,24.0,2367343.41565,-859593.9579532,-1.0
1306893603.93,6.9638598,4.3433341,25969.2265528,58.0,14.6,26.3,2367418.87497,-859155.3096452,-1.0
1306893604.14,6.9640058,4.3436785,25970.243613199997,58.3,14.9,27.1,2367443.48127,-859024.9946804,-1.0
1306893604.58,6.9643304,4.3444056,25972.605818,58.7,15.5,28.6,2367499.8789096,-858749.4041204,-1.0
1306893605.05,6.964695,4.345168,25975.4273404,59.2,16.4,30.4,2367565.69256,-858459.6075232,-1.0
1306893605.3,6.9648927,4.3455607,25976.9693352,59.4,16.9,31.4,2367602.2083092,-858310.0340276001,-1.0
1306893606.02,6.9654911,4.3466629,25981.8249784,58.0,17.4,34.1,2367716.6112,-857888.80698,-1.0
1306893606.25,6.9657015,4.3470059,25983.399781599997,55.2,16.2,34.8,2367758.6387604,-857756.9500204,-1.0
1306893606.7,6.9661466,4.3476336,25985.8604116,45.4,14.1,35.8,2367851.94585,-857513.7085428,-1.0
1306893607.17,6.9666591,4.3482599,25987.5008316,34.3,14.5,36.5,2367963.6912604,-857268.892262,-1.0
1306893607.47,6.9669989,4.348645,25988.2226164,27.0,15.5,36.9,2368038.95373,-857117.5143044,-1.0
1306893608.13,6.9677903,4.3494763,25990.2895456,9.6,17.9,37.5,2368217.1361504,-856788.9709867999,-1.0
1306893608.58,6.9683473,4.3500205,25992.947025999998,-2.4,19.4,37.5,2368344.4983592,-856572.5667804,-1.0
1306893609.41,6.9693949,4.3509915,26001.5100184,-22.6,20.8,36.9,2368585.8369496,-856184.8371092,-1.0
1306893609.7,6.9697653,4.3513259,26005.6766852,-29.3,21.2,36.4,2368671.7621492,-856050.9788372,-1.0
1306893610.57,6.9708692,4.3523158,26022.015268400002,-45.4,22.5,34.0,2368927.6676692,-855654.4893232001,-1.0
1306893610.93,6.9713275,4.3527291,26030.512644000002,-49.9,23.0,32.6,2369033.6716095996,-855489.0693704,-1.0
1306893611.36,6.9718513,4.3532091,26041.4706496,-53.2,23.6,30.7,2369154.6361804004,-855297.2058472,-1.0
1306893611.79,6.9723134,4.3537344,26057.8420412,-47.1,20.2,29.2,2369257.1624304,-855090.7753944,-1.0
1306893612.23,6.9727467,4.3542689,26073.2291808,-16.7,13.7,28.4,2369351.28973,-854881.91712,-1.0
