flight id:101
flight code:MiG-29A
origin:RU
date:2011-06-01
from:soganlug
to:vaziani
motor(s):2
mass aircraft:10922.041768
mass fuel:10922.041768
lift coef:1.604765498192893
drag coef:0.011066253455886965

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893621.61,3.016743,5.5767575,-1.0,-1.0,2.0,-1.0,298787.0,-49925.12,-1.0,41.36980881519973,4295705.335457829,4295705.335457829,22.538651261999483,7.9790878094938815,24973.08626111095,84.60000000000001,33.270260522237535
1306893624.34,3.0156858,5.5759625,-1.0,-1.0,1.9,-1.0,298708.5,-50018.59,-1.0,41.36980881519973,3398294.6944495123,3398294.6944495123,22.49249537546706,8.008095005308425,24590.51392807784,83.90000000000002,33.25129836125766
1306893626.45,3.0147038,5.575224,-1.0,-1.0,1.8,-1.0,298635.56,-50105.43,-1.0,50.403251517092144,2546820.9010321447,2546820.9010321447,22.40544142101701,8.183581079005506,25221.851393706547,83.80000000000001,33.232336200277786
1306893628.97,3.0133433,5.5742009,-1.0,-1.0,1.7,-1.0,298534.53,-50225.73,-1.0,58.99244588363753,1783391.4228477473,1783391.4228477473,21.46529160530732,8.081274830266004,24855.607099062276,82.10000000000001,33.21338169459099
1306893631.91,3.011488,5.5728056,23.66,-1.0,2.2,-1.0,298396.78,-50389.8,-1.0,70.02160333525305,1218149.6084753368,1218149.6084753368,20.90111941157908,8.007725241203698,24884.105948210934,83.60000000000001,33.213320452246286
1306893632.33,3.011199,5.5725882,23.71,-1.0,4.8,-1.0,298375.31,-50415.36,-1.0,76.12781394202852,1218149.608475337,1218149.608475337,20.90111941157908,8.007725241203698,24884.10594821093,83.60000000000001,33.213320452246286
1306893632.75,3.0109056,5.5723675,23.74,-1.0,6.5,-1.0,298353.5,-50441.31,-1.0,77.35960574963447,1783391.4228477473,1783391.4228477473,21.465291605307325,8.081274830266004,24855.607099062272,82.10000000000001,33.21338169459099
1306893633.17,3.0106078,5.5721436,23.76,-1.0,7.6,-1.0,298331.41,-50467.64,-1.0,78.47983862085287,2546820.9010321447,2546820.9010321447,22.405441421017017,8.183581079005505,25221.851393706547,83.80000000000001,33.23233620027778
1306893633.59,3.0103,5.5719121,23.77,-1.0,8.4,-1.0,298308.53,-50494.87,-1.0,81.33111089943529,3398294.6944495123,3398294.6944495123,22.49249537546706,8.008095005308425,24590.513928077842,83.9,33.25129836125766
1306893634.01,3.0099959,5.5716834,23.77,-1.0,8.8,-1.0,298285.97,-50521.75,-1.0,80.2023111776678,4295705.335457829,4295705.335457829,22.538651261999487,7.9790878094938815,24973.086261110948,84.6,33.270260522237535
