flight id:201
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:vaziani
to:gudauta
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893628.55,10.0324795,2.6236974,-1.0,-1.0,1.3,-1.0,903670.75,-319595.84,-1.0,153.3277077345789,7205907.944210284,24.97374749198231,7.731370808879663,25497.8990697362,92.2,36.88399394241359
1306893631.91,10.0309981,2.6252013,466.78,-1.0,2.5,-1.0,903523.38,-319445.97,-1.0,153.3277077345789,14324034.095555916,24.323588163383334,7.7596695005813405,25724.498217354692,91.30000000000001,36.883703041276235
1306893632.33,10.030791,2.6254116,466.87,-1.0,4.8,-1.0,903502.75,-319425.03,-1.0,71.66433863230134,26862591.529203847,26.150271179509645,7.494588055882943,26081.94241456928,91.4,36.88356524600064
1306893632.75,10.0305802,2.6256255,466.92,-1.0,6.3,-1.0,903481.75,-319403.72,-1.0,72.90824495680407,39806494.546953656,26.589499785083756,7.40450882547447,26279.812713627885,89.39999999999999,36.88349634836284
1306893633.17,10.0303658,2.6258432,466.96,-1.0,7.3,-1.0,903460.44,-319382.03,-1.0,74.07443755998673,48498003.24802639,27.571163500983594,7.223601765607216,26320.260566104225,89.3,36.8834580718974
1306893633.59,10.0301437,2.6260687,466.99,-1.0,7.9,-1.0,903438.31,-319359.56,-1.0,76.76125896573124,48498003.24802638,27.57116350098359,7.223601765607217,26320.260566104225,89.3,36.8834580718974
1306893634.01,10.0299238,2.6262919,467.01,-1.0,8.4,-1.0,903416.44,-319337.31,-1.0,75.95748937112317,39806494.546953656,26.589499785083756,7.404508825474472,26279.812713627885,89.4,36.88349634836284
1306893634.43,10.0296923,2.6265269,467.01,-1.0,8.6,-1.0,903393.44,-319313.88,-1.0,79.84587119329034,26862591.529203847,26.15027117950964,7.494588055882945,26081.94241456928,91.39999999999998,36.88356524600064
1306893634.85,10.0294594,2.6267633,467.05,-1.0,8.9,-1.0,903370.25,-319290.34,-1.0,80.34390428674537,14324034.095555916,24.323588163383334,7.759669500581341,25724.498217354692,91.3,36.883703041276235
1306893635.27,10.0292209,2.6270054,467.16,-1.0,9.2,-1.0,903346.5,-319266.22,-1.0,82.26295600459547,7205907.944210288,24.973747491982312,7.731370808879663,25497.899069736195,92.20000000000002,36.88399394241358
1306893635.69,10.028976,2.627254,467.47,-1.0,9.7,-1.0,903322.19,-319241.44,-1.0,84.32541352907907,5894430.466913872,25.789304283968193,7.763203795581651,26277.392181765434,90.60000000000001,37.24262145772417
1306893636.11,10.0287296,2.627504,468.04,-1.0,9.9,-1.0,903297.63,-319216.53,-1.0,84.96277016275575,6098441.403635862,26.130423922747813,7.680577018938958,25722.268288427975,90.0,37.24358602465331
1306893636.53,10.0284782,2.627759,468.91,-1.0,10.0,-1.0,903272.63,-319191.13,-1.0,86.54461597707925,6492927.412389801,24.28488255120877,7.968122862960951,24893.82264388937,90.7,37.245147704443326
1306893637.37,10.0279595,2.6282848,471.69,-1.0,10.2,-1.0,903221.06,-319138.75,-1.0,89.23063387927152,6838237.174620754,24.310865770218065,7.820967359006129,25382.311433660365,90.9,37.248799279246484
1306893639.05,10.0268766,2.629379,481.4,-1.0,10.1,-1.0,903113.38,-319029.75,-1.0,93.03573487646801,7193281.278374833,25.609078807792784,7.994970622182812,25400.278736891036,89.0,37.25985352246608
1306893639.47,10.0265901,2.6296675,484.72,0.1,10.1,-1.0,903084.94,-319001.03,-1.0,98.20139950444249,7627569.689514187,27.399749607852304,8.26372615869548,25302.69199804035,87.9,37.27342635711175
1306893640.31,10.0260084,2.6302519,492.29,0.1,10.0,-1.0,903027.13,-318942.88,-1.0,96.83118965861952,8219728.51706497,28.709125940263682,8.30137198201288,24527.181457638464,85.89999999999999,37.292778938039135
1306893641.99,10.0247649,2.6314939,511.69,0.3,10.0,-1.0,902903.75,-318819.38,-1.0,103.3590249714664,8978376.137600914,27.839242876692424,8.231433295328515,24607.51446381335,84.8,37.32698278755794
1306893642.83,10.0241069,2.6321468,523.41,0.3,9.8,-1.0,902838.56,-318754.47,-1.0,109.21996048977077,9957337.251597725,29.696622335869364,8.180280892611709,24326.683411929585,87.19999999999999,37.370128019403964
1306893643.25,10.0237683,2.6324818,529.77,0.5,9.8,-1.0,902805.0,-318721.19,-1.0,112.37057488040513,11316465.871683314,28.895886596776773,8.111758997498796,24476.227506327217,88.9,37.418057809430216
1306893643.67,10.0234201,2.6328254,536.49,0.6,9.8,-1.0,902770.5,-318687.06,-1.0,115.47666413476493,12904194.161622144,28.334049170131905,8.157596959153436,23819.021796458972,90.30000000000001,37.4708946423261
1306893644.51,10.022711,2.633523,550.67,0.6,9.6,323.8,902700.31,-318617.81,-1.0,117.42301505029391,14650897.591617707,27.18197571513781,8.012649679042733,23954.680594038426,91.10000000000001,37.53415032911525
1306893644.93,10.0223501,2.6338769,557.94,0.6,9.4,323.8,902664.63,-318582.69,-1.0,119.28871169662762,16478284.752566705,27.709038312364157,7.921057826854047,24162.271212446325,92.4,37.602305403480955
1306893645.35,10.0219783,2.6342407,565.27,0.6,9.1,323.8,902627.81,-318546.59,-1.0,122.84955836209575,18170680.556202732,27.582753766486153,8.026732454212333,23675.72821802095,92.19999999999999,37.673943636201855
1306893645.77,10.0216024,2.6346078,572.42,1.1,8.9,323.8,902590.69,-318510.19,-1.0,123.78893058718735,19706981.857388232,26.849609638132193,8.092888262908973,23670.06121280805,93.3,37.743622113892144
1306893646.19,10.021216,2.6349845,579.41,1.2,8.7,323.9,902552.5,-318472.81,-1.0,127.16124520822011,21022428.174422827,24.298972952132267,8.072727302085157,23454.855543634352,93.9,37.81611008414586
1306893646.61,10.0208245,2.6353657,586.08,1.2,8.5,323.9,902513.81,-318435.03,-1.0,128.57305150134002,22273307.405516505,22.573654180428438,7.900241098869218,24269.825930510575,93.0,37.887909078021636
1306893647.03,10.0204277,2.6357516,592.39,1.5,8.5,323.9,902474.56,-318396.78,-1.0,130.19715396348138,23510230.61390561,24.971302850805742,7.896266699505734,24472.093450958488,91.1,37.949687293244736
1306893647.88,10.0196017,2.6365539,604.08,1.8,8.2,323.9,902393.0,-318317.22,-1.0,133.58930191987633,24659622.636662588,24.447517152239755,8.016385811819294,24688.98070631042,89.70000000000002,38.01144254258857
1306893648.3,10.0191822,2.6369614,609.34,2.0,8.3,323.9,902351.56,-318276.84,-1.0,137.17124095493634,25846519.680648103,22.59680600360911,7.981375210837935,23903.326027403804,87.00000000000001,38.07235570969267
1306893648.72,10.0187555,2.6373759,614.39,2.1,8.4,324.1,902309.44,-318235.75,-1.0,139.4536893467657,27299004.705139626,22.55778692951219,7.889986945153186,24063.16110820335,87.9,38.13199044285103
1306893649.14,10.0183272,2.6377925,619.35,2.3,8.7,324.1,902267.13,-318194.44,-1.0,140.12058702010597,28700553.924276244,23.51096563352768,7.802478727872668,24176.844230417304,89.10000000000001,38.184566995781914
1306893649.56,10.0178845,2.6382244,624.53,2.4,8.9,324.1,902223.31,-318151.59,-1.0,145.27561077792402,30079222.90844043,22.893135235205136,7.788886306431426,24910.313371866905,89.00000000000001,38.23554359245733
1306893649.98,10.017441,2.6386585,629.89,2.5,9.2,324.3,902179.5,-318108.53,-1.0,145.63407624988338,31977374.603701293,22.75263140640752,7.845389025777873,25513.01665526574,90.4,38.28501209639434
