flight id:301
flight code:Su-25T
origin:RU
date:2011-06-01
from:tbilissi-lochini
to:nalchik
motor(s):2
mass aircraft:11495.835648
mass fuel:11495.835648
lift coef:1.1776856990315037
drag coef:0.011020666513337473

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893617.59,3.9538542,6.0867506,-1.0,-1.0,3.0,-1.0,369026.59,11743.58,-1.0,31.79822073914487,4800622.929289731,4800622.929289731,25.01361852601181,6.888386520740644,24820.324361241983,88.10000000000001,30.785618886122112
1306893625.78,3.9504321,6.0868,-1.0,-1.0,2.3,-1.0,368756.91,11729.18,-1.0,31.79822073914487,4764352.500421626,4764352.500421626,25.99038992973476,7.184277538145048,24221.1748418494,90.60000000000001,30.760195657775657
1306893626.2,3.9501712,6.0868037,-1.0,-1.0,2.2,-1.0,368736.34,11728.08,-1.0,47.81023552160938,4722066.863520023,4722066.863520023,25.700431771983716,7.041019201749227,23597.516920495786,88.7,30.734787740015378
1306893627.88,3.9490367,6.08682,-1.0,-1.0,1.9,-1.0,368646.94,11723.31,-1.0,52.04495209031354,4762233.391487542,4762233.391487542,28.580933174603764,6.753836050206353,23782.43572298357,87.2,30.709402788134362
1306893628.72,3.9484251,6.0868288,-1.0,-1.0,1.8,-1.0,368598.72,11720.73,-1.0,56.23335135972337,4425010.842513833,4425010.842513833,29.235868200799754,6.822617568150003,23594.07404168073,83.9,30.68404080213261
1306893629.98,3.9474395,6.086843,32.07,-1.0,2.7,-1.0,368521.03,11716.58,-1.0,65.935287409717,4425010.842513833,4425010.842513833,29.23586820079975,6.822617568150003,23594.074041680735,83.89999999999999,30.68404080213261
1306893630.4,3.9470961,6.086848,32.13,-1.0,5.6,-1.0,368494.0,11715.14,-1.0,63.18489179930419,4762233.391487543,4762233.391487543,28.580933174603757,6.7538360502063535,23782.43572298357,87.19999999999999,30.709402788134362
1306893630.82,3.9467466,6.086853,32.16,-1.0,7.5,-1.0,368466.44,11713.67,-1.0,64.4467773839091,4722066.863520023,4722066.863520023,25.700431771983713,7.0410192017492275,23597.516920495786,88.69999999999999,30.734787740015378
1306893631.24,3.9463841,6.0868582,32.19,-1.0,8.7,-1.0,368437.88,11712.14,-1.0,66.82804411678242,4764352.5004216265,4764352.5004216265,25.990389929734757,7.184277538145048,24221.174841849403,90.6,30.760195657775657
1306893631.66,3.9460192,6.0868634,32.21,-1.0,9.5,-1.0,368409.13,11710.61,-1.0,67.28040081763899,4800622.92928973,4800622.92928973,25.01361852601181,6.888386520740644,24820.32436124199,88.1,30.785618886122116
1306893632.08,3.9456433,6.0868688,32.23,-1.0,10.0,-1.0,368379.5,11709.02,-1.0,69.37630241529608,4644031.871100844,4644031.871100844,24.643104651586864,7.002833779919147,24678.765600448438,90.60000000000001,30.81105742505475
1306893632.5,3.945259,6.0868743,32.24,-1.0,10.4,-1.0,368349.19,11707.41,-1.0,70.99554488114254,4331098.225332658,4331098.225332658,23.780771831107163,6.844278380510709,24671.339229381098,90.00000000000001,30.83650361928047
1306893632.92,3.9448741,6.0868799,32.3,-1.0,10.8,-1.0,368318.88,11705.79,-1.0,70.99583228483264,4569347.27639733,4569347.27639733,24.797329787646902,7.200513055829652,24868.85883966636,88.80000000000001,30.861995745264714
1306893633.34,3.9444746,6.0868856,32.53,-1.0,11.3,-1.0,368287.38,11704.1,-1.0,73.83224858279205,4611668.411211412,4611668.411211412,24.10361495630484,7.28856517351607,25322.90510501572,90.20000000000002,30.887663942990002
1306893633.76,3.9440704,6.0868913,32.99,-1.0,11.7,-1.0,368255.53,11702.4,-1.0,74.67171304423009,4771353.1508566355,4771353.1508566355,22.56807056638031,7.358800634305282,25155.879343910972,92.80000000000003,30.913684284197355
1306893634.18,3.9436637,6.0868971,33.74,-1.0,11.9,-1.0,368223.47,11700.67,-1.0,75.1855157210988,4906159.710544942,4906159.710544942,22.6031879514656,7.395313141434267,25279.31571513793,95.80000000000001,30.91496271814311
