flight id:101
flight code:MiG-29A
origin:RU
date:2011-06-01
from:gelendzhik
to:nalchik
motor(s):2
mass aircraft:10922.041768
mass fuel:10922.041768
lift coef:1.604765498192893
drag coef:0.011066253455886965

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631⋅32,2⋅011986,6⋅5731802,-1⋅0,-1⋅0,1⋅6,-1⋅0,-1⋅0,85⋅35873000765979,6535382⋅124524599,6535382⋅124524599,24⋅046818034087046,6⋅860340416897207,25431⋅551854228594,89⋅30000000000001,27⋅9506885768762
1306893632⋅16,2⋅0114221,6⋅572756,23⋅69,-1⋅0,4⋅0,-1⋅0,-1⋅0,85⋅35873000765979,5913005⋅59798551,5913005⋅59798551,25⋅188778021521177,6⋅936944247062266,25337⋅20556905742,88⋅40000000000002,27⋅939282190174538
1306893632⋅58,2⋅0111373,6⋅5725418,23⋅73,-1⋅0,6⋅0,-1⋅0,-1⋅0,80⋅94564893259495,5247405⋅787555491,5247405⋅787555491,23⋅784944155818163,6⋅847111831836972,25087⋅78034626625,89⋅70000000000002,27⋅936893738730973
1306893633⋅01,2⋅0108356,6⋅5723149,23⋅75,-1⋅0,7⋅3,-1⋅0,-1⋅0,83⋅64307780811362,4660946⋅491615031,4660946⋅491615031,24⋅159969091840388,7⋅0085590978573595,24840⋅301073451046,89⋅80000000000001,27⋅936174141180665
1306893634⋅5,2⋅0097405,6⋅5714913,23⋅79,-1⋅0,9⋅2,-1⋅0,-1⋅0,87⋅473474325875,4419951⋅259026266,4419951⋅259026266,24⋅299319912459858,6⋅838023461159253,24522⋅677743047137,90⋅0,27⋅93589855062948
1306893634⋅92,2⋅0094227,6⋅5712523,23⋅87,-1⋅0,9⋅6,-1⋅0,-1⋅0,89⋅98005171215121,4419951⋅259026266,4419951⋅259026266,24⋅299319912459858,6⋅838023461159253,24522⋅677743047137,90⋅00000000000001,27⋅935898550629485
1306893635⋅36,2⋅0090796,6⋅5709942,24⋅15,-1⋅0,10⋅1,-1⋅0,-1⋅0,92⋅67678691669505,4660946⋅491615031,4660946⋅491615031,24⋅15996909184039,7⋅008559097857359,24840⋅301073451046,89⋅80000000000001,27⋅93617414118067
1306893635⋅79,2⋅008738,6⋅5707374,24⋅69,-1⋅0,10⋅4,-1⋅0,-1⋅0,94⋅34714108294148,5247405⋅787555491,5247405⋅787555491,23⋅784944155818163,6⋅847111831836971,25087⋅78034626625,89⋅70000000000002,27⋅936893738730973
1306893636⋅66,2⋅0080283,6⋅5702041,26⋅85,-1⋅0,10⋅7,-1⋅0,-1⋅0,96⋅76473436643244,5913005⋅59798551,5913005⋅59798551,25⋅188778021521177,6⋅936944247062264,25337⋅20556905742,88⋅40000000000002,27⋅93928219017454
1306893638⋅8,2⋅0061722,6⋅5688156,38⋅59,-0⋅1,10⋅7,-1⋅0,-1⋅0,102⋅60647870449135,6535382⋅124524599,6535382⋅124524599,24⋅046818034087046,6⋅8603404168972055,25431⋅551854228594,89⋅30000000000001,27⋅950688576876203
1306893640⋅09,2⋅0049501,6⋅5679092,50⋅22,-0⋅2,10⋅7,-1⋅0,-1⋅0,111⋅5361724677021,7099773⋅705342441,7099773⋅705342441,26⋅147431742921967,6⋅730837289397151,25090⋅30445767459,89⋅50000000000001,27⋅989898988074806
1306893641⋅37,2⋅0036221,6⋅5669334,66⋅24,-0⋅4,10⋅7,-1⋅0,-1⋅0,121⋅53686940107076,7682659⋅328588276,7682659⋅328588276,27⋅431399750298596,6⋅690366980023212,25239⋅06002788264,92⋅50000000000001,28⋅02247226016579
1306893641⋅79,2⋅0031554,6⋅5665932,72⋅62,-0⋅5,10⋅7,-1⋅0,-1⋅0,129⋅65892004549875,8498396⋅775188213,8498396⋅775188213,27⋅140590027795305,6⋅62662601820162,26124⋅181270430978,92⋅4,28⋅059898988074803
1306893642⋅22,2⋅002672,6⋅5662431,79⋅57,-0⋅6,10⋅7,-1⋅0,-1⋅0,130⋅81383309582975,10186296⋅315805208,10186296⋅315805208,28⋅58602383824346,6⋅6542154020867255,26100⋅053162658987,89⋅50000000000001,28⋅10263083409405
1306893642⋅64,2⋅0021831,6⋅5658932,86⋅89,-0⋅6,10⋅6,223⋅4,-1⋅0,134⋅6561553332774,12132258⋅868852977,12132258⋅868852977,26⋅553348288627788,6⋅841079806626562,26583⋅87257440915,90⋅89999999999999,28⋅150935733481628
1306893643⋅06,2⋅0016784,6⋅5655363,94⋅69,-0⋅9,10⋅5,223⋅4,-1⋅0,138⋅15642701472476,14436230⋅72019321,14436230⋅72019321,26⋅992225309800425,6⋅677195665949265,26447⋅081581121805,91⋅1,28⋅20515051913342
1306893643⋅48,2⋅0011641,6⋅5651754,102⋅84,-1⋅2,10⋅4,223⋅4,-1⋅0,140⋅28031224249833,16782934⋅40252836,16782934⋅40252836,27⋅077063174317388,6⋅88692609229823,26184⋅266389806635,91⋅20000000000002,28⋅265390020445754
1306893643⋅9,2⋅0006333,6⋅5648046,111⋅33,-1⋅4,10⋅2,223⋅3,-1⋅0,144⋅4052063702879,18414280⋅857907984,18414280⋅857907984,28⋅156703579072953,6⋅878199670601007,25729⋅037421192985,90⋅60000000000001,28⋅331715479763343
1306893644⋅33,2⋅0000829,6⋅5644219,120⋅05,-1⋅7,9⋅9,223⋅3,-1⋅0,145⋅87741975020705,19610828⋅95636802,19610828⋅95636802,28⋅596693755838754,6⋅727521324126067,26270⋅35093492164,92⋅00000000000001,28⋅403062811346892
1306893644⋅75,1⋅999524,6⋅564035,128⋅71,-2⋅1,9⋅7,223⋅3,-1⋅0,151⋅1656802785491,20478596⋅089954264,20478596⋅089954264,29⋅369492219454486,6⋅927776762302712,25794⋅675260292363,93⋅2,28⋅47205231265923
1306893645⋅18,1⋅9989348,6⋅5636287,137⋅54,-2⋅5,9⋅5,223⋅3,-1⋅0,155⋅1592644137035,21381807⋅35992957,21381807⋅35992957,27⋅369920066677064,6⋅9203139231812605,25211⋅7222444509,93⋅9,28⋅53889833190683
1306893645⋅62,1⋅9983266,6⋅5632109,146⋅28,-2⋅9,9⋅3,223⋅1,-1⋅0,156⋅18264184120676,22494521⋅24920983,22494521⋅24920983,27⋅657780876920754,6⋅796035956955359,25335⋅09101588449,92⋅0,28⋅600171297786094
1306893646⋅04,1⋅9977294,6⋅5628014,154⋅48,-3⋅4,9⋅3,223⋅1,-1⋅0,160⋅27612993243338,23878236⋅31632158,23878236⋅31632158,28⋅182040338295007,6⋅855139029289406,25262⋅547444981818,90⋅80000000000001,28⋅662837527007436
1306893646⋅47,1⋅9971051,6⋅5623721,162⋅69,-3⋅8,9⋅3,223⋅1,-1⋅0,163⋅7602035899858,25349314⋅53094964,25349314⋅53094964,26⋅963273594699025,6⋅891632658607005,25297⋅997080812765,94⋅3,28⋅72646832315792
1306893646⋅89,1⋅9964722,6⋅5619353,170⋅65,-4⋅2,9⋅3,222⋅9,-1⋅0,170⋅08538869012062,26954400⋅750626262,26954400⋅750626262,27⋅169359457649925,6⋅7579603981060625,25322⋅068385806466,94⋅7,28⋅790589058066054
1306893647⋅31,1⋅9958419,6⋅5614982,178⋅28,-4⋅4,9⋅3,222⋅8,-1⋅0,169⋅7054185917551,28770140⋅388284717,28770140⋅388284717,26⋅51001576374243,6⋅991971021252245,25242⋅07178245944,92⋅9,28⋅854579652991685
1306893647⋅73,1⋅9951918,6⋅5610453,185⋅98,-4⋅6,9⋅3,222⋅7,-1⋅0,175⋅2844685575913,30311515⋅236567363,30311515⋅236567363,26⋅298540726521743,6⋅82287363680576,24970⋅65180099845,93⋅60000000000001,28⋅918225759728344
1306893648⋅15,1⋅9945347,6⋅5605851,193⋅79,-4⋅6,9⋅5,222⋅6,-1⋅0,177⋅6384540807431,32457210⋅621215165,32457210⋅621215165,25⋅269876879033916,7⋅041700170500915,24814⋅13831012561,94⋅5,28⋅981351306534993
1306893648⋅58,1⋅9938421,6⋅5600974,202⋅22,-5⋅0,11⋅0,222⋅6,-1⋅0,183⋅32865295153084,34313809⋅74106105,34313809⋅74106105,23⋅39025661312508,7⋅3201203180339895,24988⋅573484174427,92⋅9,29⋅044254849842083
1306893649⋅0,1⋅9931736,6⋅5596235,211⋅31,-16⋅7,13⋅0,222⋅1,-1⋅0,182⋅0369336873166,36354601⋅169819914,36354601⋅169819914,22⋅66151830990118,7⋅080200831002038,24825⋅492064224527,91⋅5,29⋅107487570751967
1306893649⋅44,1⋅9924673,6⋅5591096,222⋅65,-36⋅4,14⋅7,220⋅8,-1⋅0,186⋅5425736119177,37957720⋅87559641,37957720⋅87559641,24⋅506058791594565,7⋅310268523687642,25177⋅02795372812,88⋅9,29⋅172641770227035
1306893649⋅86,1⋅9918126,6⋅5586073,234⋅76,-42⋅1,14⋅9,219⋅1,-1⋅0,186⋅73075046338266,39569044⋅910997584,39569044⋅910997584,23⋅864091884564516,7⋅641795240583059,24797⋅077569209316,88⋅30000000000001,29⋅24037580347288
