flight id:201
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:batumi
to:nalchik
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631⋅74,9⋅0233577,3⋅6329568,466⋅74,-1⋅0,1⋅3,-1⋅0,-1⋅0,74⋅83708283736742,7830065⋅567222012,21⋅05071509832416,7⋅2175674925178726,25725⋅420996161243,79⋅00000000000001,34⋅45176688730771
1306893632⋅16,9⋅0235654,3⋅632746,466⋅84,-1⋅0,4⋅0,-1⋅0,-1⋅0,74⋅83708283736742,7021181⋅356035621,22⋅070829862709825,7⋅164117405864406,25732⋅620645692816,77⋅4,34⋅43948014190089
1306893632⋅58,9⋅0237708,3⋅6325375,466⋅9,-1⋅0,5⋅8,-1⋅0,-1⋅0,74⋅12901876081644,6220400⋅186630446,21⋅604216782018476,7⋅2886201192639,24944⋅601441514787,75⋅1,34⋅43844667733396
1306893633⋅01,9⋅023989,3⋅6323161,466⋅95,-1⋅0,7⋅0,-1⋅0,-1⋅0,76⋅69134272031464,5584972⋅070905885,20⋅53296537971396,7⋅476048563200916,24690⋅014235209008,75⋅1,34⋅437956738576304
1306893634⋅5,9⋅024785,3⋅6315082,467⋅03,-1⋅0,8⋅7,-1⋅0,-1⋅0,80⋅52926948372041,5334767⋅885678555,20⋅85600670825279,7⋅6215643448343675,25130⋅090339138947,74⋅2,34⋅43781128800762
1306893634⋅92,9⋅025017,3⋅6312727,467⋅06,-1⋅0,9⋅0,-1⋅0,-1⋅0,83⋅18128846266701,5334767⋅885678554,20⋅856006708252792,7⋅621564344834368,25130⋅090339138947,74⋅2,34⋅43781128800762
1306893635⋅36,9⋅0252679,3⋅631018,467⋅22,-1⋅0,9⋅3,-1⋅0,-1⋅0,85⋅61358120910553,5584972⋅070905883,20⋅532965379713957,7⋅476048563200916,24690⋅014235209008,75⋅1,34⋅4379567385763
1306893635⋅79,9⋅0255179,3⋅6307642,467⋅59,-1⋅0,9⋅7,-1⋅0,-1⋅0,87⋅23211390883581,6220400⋅186630446,21⋅60421678201847,7⋅288620119263899,24944⋅601441514787,75⋅1,34⋅43844667733396
1306893636⋅22,9⋅0257713,3⋅6305069,468⋅25,-1⋅0,9⋅9,-1⋅0,-1⋅0,88⋅34609305431447,7021181⋅35603562,22⋅070829862709825,7⋅164117405864407,25732⋅62064569282,77⋅4,34⋅43948014190089
1306893639⋅24,9⋅027675,3⋅6285677,482⋅89,-1⋅0,10⋅1,-1⋅0,-1⋅0,94⋅50535571099894,7830065⋅567222013,21⋅05071509832416,7⋅2175674925178726,25725⋅420996161243,79⋅00000000000001,34⋅45176688730771
1306893640⋅95,9⋅0288588,3⋅6273524,499⋅08,-0⋅2,10⋅1,-1⋅0,-1⋅0,109⋅36406038359853,8594926⋅268445069,21⋅026752340645263,7⋅510058517538509,26275⋅638250769676,80⋅50000000000001,34⋅47652410515548
1306893641⋅79,9⋅0294742,3⋅626717,509⋅18,-0⋅2,9⋅9,-1⋅0,-1⋅0,115⋅77029804338785,9575914⋅077180738,20⋅538159815211728,7⋅256168187545752,25863⋅683634187004,82⋅99999999999999,34⋅50893661609161
1306893642⋅64,9⋅0301145,3⋅6260531,520⋅73,-0⋅4,9⋅9,143⋅5,-1⋅0,119⋅13337636684591,10958007⋅81268201,23⋅20390434965572,7⋅507246942723533,26596⋅629873710455,84⋅29999999999998,34⋅55014505878627
1306893643⋅9,9⋅0311045,3⋅6250211,540⋅3,-0⋅6,9⋅7,143⋅5,-1⋅0,124⋅43427406033392,12920126⋅102204109,22⋅97302007459672,7⋅33338699150302,26877⋅894328163293,86⋅1,34⋅60629663358942
1306893644⋅33,9⋅0314495,3⋅6246601,547⋅51,-0⋅7,9⋅7,143⋅5,-1⋅0,127⋅27155743210041,15498831⋅946689984,23⋅802134054486256,7⋅330495682300945,26818⋅46218896308,88⋅0,34⋅66790643236458
1306893644⋅75,9⋅0317965,3⋅6242964,554⋅83,-0⋅8,9⋅5,143⋅4,-1⋅0,130⋅9664259363879,18491174⋅38814254,25⋅099230735724642,7⋅2590849951956296,26633⋅86400844745,89⋅6,34⋅735096939801146
1306893645⋅18,9⋅032159,3⋅6239157,562⋅39,-0⋅9,9⋅2,143⋅4,-1⋅0,133⋅43607867993475,21490935⋅71945984,25⋅706157514039838,7⋅288268639014692,27019⋅622828520358,91⋅5,34⋅80795236412311
1306893645⋅62,9⋅03253,3⋅6235255,569⋅92,-1⋅0,9⋅0,143⋅4,-1⋅0,133⋅64076319498474,24289273⋅670463346,25⋅15153499299973,7⋅112467313408732,27143⋅1950542002,95⋅4,34⋅886288978296335
1306893646⋅04,9⋅0328917,3⋅6231447,576⋅93,-1⋅1,8⋅8,143⋅4,-1⋅0,136⋅16646322590438,26604221⋅74173424,25⋅627400395180615,7⋅3934726029244455,26979⋅667192408462,93⋅2,34⋅96948670358067
1306893646⋅47,9⋅0332681,3⋅6227478,583⋅83,-1⋅1,8⋅8,143⋅3,-1⋅0,138⋅30132743467294,28456975⋅126458347,27⋅660020177916252,7⋅328742828273447,26643⋅33395443555,94⋅00000000000001,35⋅04675923201462
1306893646⋅89,9⋅0336485,3⋅6223465,590⋅36,-1⋅4,8⋅4,143⋅3,-1⋅0,142⋅62951410776876,29974525⋅899245497,29⋅23733837756121,7⋅261610271260191,26025⋅83683163962,91⋅5,35⋅11663674732521
1306893647⋅31,9⋅0340264,3⋅6219477,596⋅39,-1⋅5,8⋅3,143⋅3,-1⋅0,141⋅7651575858427,31508959⋅683108624,29⋅489770005997936,7⋅439256261606197,26179⋅42688651041,90⋅0,35⋅183398558348834
1306893648⋅15,9⋅0348089,3⋅6211221,607⋅49,-1⋅8,8⋅3,143⋅3,-1⋅0,146⋅24970097388382,32747895⋅011912953,28⋅80970292384068,7⋅378730255217818,25392⋅896286084753,90⋅7,35⋅24981588118347
1306893648⋅58,9⋅0352237,3⋅6206848,612⋅75,-1⋅9,8⋅4,143⋅3,-1⋅0,150⋅77261844037454,34159013⋅338413745,27⋅41050131823348,7⋅303940039814642,25354⋅014549067237,90⋅30000000000001,35⋅305278479608674
1306893649⋅0,9⋅0356265,3⋅6202607,617⋅67,-1⋅9,8⋅6,143⋅1,-1⋅0,149⋅840366229154,35953880⋅586408764,26⋅822515585131807,7⋅243972698069378,25013⋅174921355054,87⋅90000000000002,35⋅35898801591664
1306893649⋅44,9⋅0360637,3⋅6198018,623⋅0,-1⋅9,8⋅9,143⋅1,-1⋅0,154⋅63438802694301,37440862⋅226023436,24⋅997977456090865,7⋅351585162722756,24806⋅289357479603,89⋅9,35⋅41117414890001
1306893649⋅86,9⋅0364889,3⋅6193572,628⋅31,-1⋅9,9⋅1,143⋅1,-1⋅0,157⋅03393023785554,39352547⋅13583582,25⋅91746339616595,7⋅627751290996933,24655⋅469976487006,87⋅10000000000001,35⋅46163784093851
1306893650⋅29,9⋅0369415,3⋅6188857,634⋅18,-1⋅9,9⋅3,142⋅9,-1⋅0,162⋅41879371289775,41449936⋅16889154,26⋅22666693535013,7⋅943583409276586,23834⋅918198457028,84⋅4,35⋅51083075432433
1306893650⋅71,9⋅0373823,3⋅6184282,640⋅17,-1⋅9,9⋅5,142⋅9,-1⋅0,161⋅75944517234893,43724629⋅553091384,27⋅144164744367664,7⋅767314282431763,23977⋅404842541007,86⋅60000000000001,35⋅55924282781515
1306893651⋅15,9⋅0378512,3⋅6179435,646⋅84,-1⋅9,9⋅6,142⋅9,-1⋅0,163⋅6539268924854,45787813⋅64204387,27⋅67933061370438,7⋅548780932859733,23656⋅827326115537,87⋅5,35⋅607478829564926
1306893651⋅58,9⋅0383142,3⋅6174667,653⋅69,-1⋅9,9⋅6,142⋅7,-1⋅0,164⋅99189039985023,48149856⋅22372473,27⋅963555020533867,7⋅3510369321986495,23902⋅10718042846,87⋅80000000000001,35⋅65595980069354
1306893652⋅0,9⋅0387772,3⋅6169917,660⋅76,-1⋅9,9⋅6,142⋅7,-1⋅0,168⋅36841267291837,49881919⋅48636253,28⋅337911161352295,7⋅290516306369768,23611⋅14942195585,87⋅1,35⋅70523692230334
1306893652⋅43,9⋅0392588,3⋅6164993,668⋅34,-3⋅8,11⋅0,142⋅7,-1⋅0,170⋅55372715966675,51322552⋅26866075,28⋅518118706056416,7⋅105593590801942,23564⋅766654092702,88⋅3,35⋅751819380746035
