flight id:301
flight code:Su-25T
origin:RU
date:2011-06-01
from:sochi-adler
to:krymsk
motor(s):2
mass aircraft:11495.835648
mass fuel:11495.835648
lift coef:1.1776856990315037
drag coef:0.011020666513337473

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893600⋅43,2⋅9899856,7⋅0891938,1997⋅55,-0⋅8,0⋅6,-1⋅0,-1⋅0,205⋅71302799072274,59593711⋅49293571,59593711⋅49293571,22⋅216260333079763,7⋅814187386963383,25939⋅657859586772,85⋅80000000000001,41⋅94397465646033
1306893600⋅86,2⋅9910887,7⋅0892646,1996⋅47,-1⋅0,1⋅0,-1⋅0,-1⋅0,205⋅71302799072274,59037620⋅37396236,59037620⋅37396236,22⋅39437632361326,7⋅7212933329677105,26729⋅378447606174,83⋅5,41⋅950627106154116
1306893601⋅28,2⋅9921831,7⋅0893351,1995⋅1,-0⋅2,1⋅3,-1⋅0,-1⋅0,208⋅89969100756312,58275001⋅30830589,58275001⋅30830589,22⋅474275177995153,7⋅725622993809725,27182⋅35157032378,85⋅80000000000001,41⋅95605470895377
1306893601⋅71,2⋅9932848,7⋅0894061,1993⋅63,-0⋅2,1⋅6,-1⋅0,-1⋅0,205⋅52068169676272,57659389⋅03573894,57659389⋅03573894,22⋅74032278142321,8⋅062724770904985,27089⋅31085940268,83⋅70000000000002,41⋅959560833188235
1306893602⋅13,2⋅9943813,7⋅0894768,1992⋅22,-0⋅3,1⋅8,-1⋅0,-1⋅0,209⋅266826981519,57515065⋅71410795,57515065⋅71410795,22⋅593720690363423,8⋅027754017468531,27006⋅806784387394,85⋅10000000000001,41⋅96133686118473
1306893602⋅55,2⋅9954573,7⋅0895463,1990⋅97,-0⋅2,2⋅1,-1⋅0,-1⋅0,205⋅45366953056921,57515065⋅71410795,57515065⋅71410795,22⋅593720690363426,8⋅027754017468531,27006⋅806784387398,85⋅10000000000001,41⋅96133686118473
1306893602⋅97,2⋅9965543,7⋅0896171,1989⋅9,-0⋅0,2⋅3,-1⋅0,-1⋅0,209⋅42640869458123,57659389⋅03573894,57659389⋅03573894,22⋅740322781423217,8⋅062724770904985,27089⋅310859402678,83⋅7,41⋅959560833188235
1306893603⋅4,2⋅9976542,7⋅0896882,1989⋅05,-0⋅1,2⋅5,-1⋅0,-1⋅0,205⋅1347065948093,58275001⋅30830589,58275001⋅30830589,22⋅47427517799516,7⋅725622993809723,27182⋅35157032377,85⋅8,41⋅956054708953765
1306893604⋅26,2⋅9998841,7⋅0898323,1988⋅01,-0⋅1,2⋅5,-1⋅0,-1⋅0,207⋅88360998239784,59037620⋅37396235,59037620⋅37396235,22⋅39437632361326,7⋅72129333296771,26729⋅378447606174,83⋅49999999999999,41⋅950627106154116
1306893605⋅11,3⋅0020924,7⋅0899751,1987⋅78,-0⋅2,2⋅5,-1⋅0,-1⋅0,208⋅2476475002271,59593711⋅4929357,59593711⋅4929357,22⋅216260333079767,7⋅814187386963381,25939⋅65785958677,85⋅8,41⋅943974656460334
