flight id:401
flight code:Su-27
origin:RU
date:2011-06-01
from:gudauta
to:batumi
motor(s):2
mass aircraft:17500.032952
mass fuel:17500.032952
lift coef:1.3276531002791723
drag coef:0.012475794761808172

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893678⋅0,2⋅0169883,6⋅5769419,-1⋅0,-1⋅0,-1⋅6,-1⋅0,-1⋅0,44⋅77293848531802,155086928⋅48592553,155086928⋅48592553,27⋅490326776880096,7⋅324367792242018,25801⋅46777077449,89⋅30000000000001,27⋅076808255000234
1306893680⋅79,2⋅015972,6⋅5761777,-1⋅0,-1⋅0,-1⋅7,-1⋅0,-1⋅0,44⋅77293848531802,116351680⋅37004057,116351680⋅37004057,28⋅276451435310598,7⋅459861858124522,25842⋅74100886917,91⋅60000000000001,27⋅057256636452554
1306893682⋅29,2⋅0153206,6⋅5756879,-1⋅0,-1⋅0,-1⋅8,-1⋅0,-1⋅0,52⋅82824123713588,77602111⋅76537506,77602111⋅76537506,29⋅59801693659127,7⋅5197971993717605,25804⋅322939941518,90⋅9,27⋅037720328491048
1306893683⋅8,2⋅0145922,6⋅5751401,-1⋅0,-1⋅0,-1⋅9,-1⋅0,-1⋅0,58⋅37142723971263,38881422⋅095592305,38881422⋅095592305,30⋅485241793586468,7⋅789663737313659,25783⋅752599723673,94⋅4,27⋅01820698640881
1306893685⋅94,2⋅0134344,6⋅5742694,-1⋅0,-1⋅0,-1⋅7,-1⋅0,-1⋅0,65⋅11920283911851,1626948⋅714233633,1626948⋅714233633,31⋅41083519767801,7⋅654448088833028,25462⋅250919813327,96⋅1,26⋅998716610205836
1306893686⋅15,2⋅0133108,6⋅5741765,24⋅42,-1⋅0,0⋅4,-1⋅0,-1⋅0,140⋅1343513545488,1626948⋅7142336327,1626948⋅7142336327,31⋅41083519767801,7⋅654448088833028,25462⋅25091981333,96⋅1,26⋅998716610205832
1306893686⋅36,2⋅0131893,6⋅5740851,24⋅46,-1⋅0,2⋅3,-1⋅0,-1⋅0,69⋅52018664177447,38881422⋅09559228,38881422⋅09559228,30⋅485241793586468,7⋅78966373731366,25783⋅752599723677,94⋅4,27⋅018206986408806
1306893686⋅57,2⋅0130615,6⋅573989,24⋅49,-1⋅0,3⋅6,-1⋅0,-1⋅0,72⋅77652915536058,77602111⋅76537506,77602111⋅76537506,29⋅598016936591275,7⋅5197971993717605,25804⋅32293994152,90⋅9,27⋅037720328491044
1306893686⋅78,2⋅0129365,6⋅573895,24⋅52,-1⋅0,4⋅8,-1⋅0,-1⋅0,71⋅41459459756477,116351680⋅37004055,116351680⋅37004055,28⋅276451435310598,7⋅459861858124522,25842⋅74100886917,91⋅60000000000001,27⋅05725663645255
1306893686⋅99,2⋅0128107,6⋅5738004,24⋅54,-1⋅0,5⋅7,-1⋅0,-1⋅0,71⋅785784112045,155086928⋅48592553,155086928⋅48592553,27⋅490326776880096,7⋅324367792242017,25801⋅46777077449,89⋅30000000000001,27⋅07680825500023
