flight id:501
flight code:Tu-142
origin:RU
date:2011-06-01
from:beslan
to:mozdok
motor(s):4
mass aircraft:96000.025248
mass fuel:96000.025248
lift coef:1.5098032749390164
drag coef:0.017311591591697872

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,engine_2,engine_3,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893651⋅15,5⋅8544104,3⋅9282649,-1⋅0,-1⋅0,1⋅1,-1⋅0,-1⋅0,50⋅03768929419622,21371702⋅26022393,21371702⋅26022393,21371702⋅26022393,21371702⋅26022393,20⋅508881179892406,7⋅380755572591951,25260⋅934187070372,93⋅89999999999999,35⋅450173556360795
1306893663⋅79,5⋅86171,3⋅9296268,-1⋅0,-1⋅0,1⋅0,-1⋅0,-1⋅0,50⋅03768929419622,25612757⋅17339503,25612757⋅17339503,25612757⋅17339503,25612757⋅17339503,22⋅372215268642062,7⋅246388944397344,25162⋅3111982192,92⋅1,35⋅37726454498722
1306893705⋅11,5⋅9020464,3⋅9372573,99⋅6,1⋅1,6⋅6,-1⋅0,-1⋅0,84⋅31027827999617,24926402⋅751267295,24926402⋅751267295,24926402⋅751267295,24926402⋅751267295,21⋅904241773590524,7⋅310048206997432,24712⋅976953760546,92⋅3,35⋅38077066922169
1306893705⋅97,5⋅9030301,3⋅9374466,99⋅04,1⋅1,6⋅5,77⋅0,-1⋅0,98⋅82950318745638,14651657⋅609383143,14651657⋅609383143,14651657⋅609383143,14651657⋅609383143,21⋅757943349213328,7⋅242301595095832,24728⋅11192423059,92⋅2,35⋅382753390131576
1306893706⋅19,5⋅9032916,3⋅9374964,98⋅64,1⋅1,6⋅4,77⋅0,-1⋅0,102⋅60552679231037,12913524⋅271423776,12913524⋅271423776,12913524⋅271423776,12913524⋅271423776,21⋅540326959826636,7⋅039375100262896,25003⋅057382633306,92⋅30000000000001,35⋅38396292643954
1306893706⋅63,5⋅9037975,3⋅9375924,97⋅65,1⋅1,6⋅3,77⋅0,-1⋅0,99⋅22011548662987,12913524⋅271423774,12913524⋅271423774,12913524⋅271423774,12913524⋅271423774,21⋅540326959826636,7⋅039375100262897,25003⋅057382633306,92⋅3,35⋅38396292643954
1306893706⋅84,5⋅9040524,3⋅9376405,97⋅06,1⋅1,6⋅2,77⋅0,-1⋅0,104⋅59647900360753,14651657⋅609383142,14651657⋅609383142,14651657⋅609383142,14651657⋅609383142,21⋅757943349213324,7⋅242301595095832,24728⋅111924230587,92⋅2,35⋅382753390131576
1306893707⋅05,5⋅9042916,3⋅9376854,96⋅45,1⋅1,6⋅1,77⋅1,-1⋅0,98⋅22176902852085,24926402⋅751267295,24926402⋅751267295,24926402⋅751267295,24926402⋅751267295,21⋅90424177359052,7⋅310048206997431,24712⋅976953760546,92⋅30000000000001,35⋅38077066922168
1306893707⋅48,5⋅9048008,3⋅9377805,95⋅02,1⋅1,6⋅0,77⋅1,-1⋅0,102⋅19680808811309,25612757⋅173395038,25612757⋅173395038,25612757⋅173395038,25612757⋅173395038,22⋅37221526864206,7⋅246388944397344,25162⋅3111982192,92⋅1,35⋅37726454498721
1306893707⋅7,5⋅9050568,3⋅937828,94⋅24,1⋅0,5⋅9,77⋅1,-1⋅0,100⋅32132719968853,21371702⋅260223925,21371702⋅260223925,21371702⋅260223925,21371702⋅260223925,20⋅508881179892406,7⋅380755572591951,25260⋅934187070376,93⋅9,35⋅450173556360795
1306893708⋅12,5⋅9055605,3⋅9379211,92⋅64,1⋅0,6⋅0,77⋅2,-1⋅0,103⋅46033258753401,13433897⋅00190994,13433897⋅00190994,13433897⋅00190994,13433897⋅00190994,19⋅945457638890545,7⋅152642447645476,25875⋅08953405573,93⋅7,35⋅52185772084023
