flight id:601
flight code:F-14A
origin:US
date:2011-06-01
from:sochi-adler
to:kutaisi
motor(s):2
mass aircraft:41780
mass fuel:41780
lift coef:1.9650056483374456
drag coef:0.010121101720646569

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631⋅32,1⋅3424986,7⋅0011117,147⋅5065664,-1⋅0,4⋅0,-1⋅0,-1⋅0,156⋅09908533229742,538⋅9344955890773,538⋅9344955890773,296⋅4303178432965,0⋅07111178536156927,3⋅4190283756891264,88⋅30000000000001,0⋅2827052110912272
1306893631⋅74,1⋅3427675,7⋅0013055,147⋅6706084,-1⋅0,6⋅0,-1⋅0,-1⋅0,156⋅09908533229742,769⋅8746416572463,769⋅8746416572463,297⋅84074015851473,0⋅06989101845677938,3⋅4469647414558207,89⋅80000000000001,0⋅28266195868527794
1306893632⋅16,1⋅3430496,7⋅0015086,147⋅7690336,-1⋅0,7⋅3,-1⋅0,-1⋅0,164⋅00681368256656,1090⋅3230496150063,1090⋅3230496150063,296⋅3058532711487,0⋅06876316156156934,3⋅4084565988603974,88⋅9,0⋅28263302167740395
1306893632⋅58,1⋅3433282,7⋅0017094,147⋅83465040000002,-1⋅0,8⋅1,-1⋅0,-1⋅0,161⋅9733419818894,1125⋅5707270416017,1125⋅5707270416017,297⋅0286135432233,0⋅07127084441330236,3⋅3007393944757,89⋅10000000000001,0⋅28261533795036986
1306893633⋅01,1⋅3436237,7⋅0019222,147⋅9002672,-1⋅0,8⋅7,-1⋅0,-1⋅0,167⋅8455987388324,1425⋅4185751856753,1425⋅4185751856753,297⋅9624582033368,0⋅0732805104199251,3⋅350365521170894,89⋅00000000000001,0⋅28260607504573293
1306893634⋅5,1⋅3446978,7⋅0026959,149⋅7047292,-1⋅0,10⋅3,-1⋅0,-1⋅0,176⋅35844216958512,1425⋅4185751856758,1425⋅4185751856758,297⋅9624582033368,0⋅0732805104199251,3⋅350365521170894,89⋅00000000000001,0⋅28260607504573293
1306893634⋅92,1⋅3450097,7⋅0029207,151⋅8700836,-1⋅0,10⋅5,-1⋅0,-1⋅0,181⋅93241130936437,1125⋅5707270416015,1125⋅5707270416015,297⋅0286135432233,0⋅07127084441330235,3⋅3007393944757006,89⋅10000000000001,0⋅2826153379503698
1306893635⋅36,1⋅3453462,7⋅0031634,155⋅4133908,-1⋅0,10⋅7,-1⋅0,-1⋅0,187⋅55733358530563,1090⋅3230496150068,1090⋅3230496150068,296⋅3058532711487,0⋅06876316156156932,3⋅408456598860398,88⋅9,0⋅282633021677404
1306893635⋅79,1⋅3456807,7⋅0034048,160⋅1706088,-1⋅0,10⋅8,-1⋅0,-1⋅0,191⋅06657145707283,769⋅8746416572463,769⋅8746416572463,297⋅84074015851473,0⋅06989101845677938,3⋅4469647414558215,89⋅80000000000001,0⋅28266195868527794
1306893636⋅22,1⋅3460192,7⋅0036494,166⋅20735439999999,-1⋅0,10⋅9,-1⋅0,-1⋅0,193⋅54858906802554,538⋅9344955890774,538⋅9344955890774,296⋅4303178432965,0⋅07111178536156927,3⋅419028375689126,88⋅30000000000001,0⋅28270521109122726
1306893637⋅52,1⋅3470747,7⋅0044149,192⋅1587988,-1⋅0,10⋅8,-1⋅0,-1⋅0,200⋅37596618230137,606⋅0392487955259,606⋅0392487955259,296⋅0047433334851,0⋅07181431877606032,3⋅460517748856837,90⋅10000000000001,0⋅2828093996301599
1306893638⋅8,1⋅3481713,7⋅0052165,228⋅44488919999998,0⋅2,10⋅8,-1⋅0,-1⋅0,212⋅9008397183189,959⋅0169396785028,959⋅0169396785028,296⋅21825477910886,0⋅07220986498213135,3⋅4331680964866993,87⋅60000000000001,0⋅2829978729459954
1306893639⋅66,1⋅348939,7⋅0057824,258⋅4645752,0⋅3,10⋅8,-1⋅0,-1⋅0,223⋅34844390359135,1346⋅534110950257,1346⋅534110950257,297⋅18559798581,0⋅0711728109164565,3⋅533780875499643,86⋅9,0⋅2832561625347968
