flight id:701
flight code:F-14B
origin:US
date:2011-06-01
from:vaziani
to:mozdok
motor(s):2
mass aircraft:44040
mass fuel:44040
lift coef:1.3582186375634022
drag coef:0.017830377164784177

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893619⋅68,1⋅9873293,6⋅9620843,-3⋅28084,-1⋅0,0⋅0,-1⋅0,-1⋅0,65⋅73793555851795,2648⋅2295676863946,2648⋅2295676863946,300⋅2232473569709,0⋅08032099586569115,3⋅740606901085067,88⋅0,0⋅27506628820272316
1306893621⋅59,1⋅9878503,6⋅9624803,-3⋅28084,-1⋅0,-0⋅1,-1⋅0,-1⋅0,65⋅73793555851795,2509⋅800170241965,2509⋅800170241965,298⋅9804132445184,0⋅08006292193120493,3⋅867540548452823,86⋅0,0⋅27489090543806877
1306893622⋅87,1⋅9882671,6⋅9627971,-3⋅28084,-1⋅0,-0⋅2,-1⋅0,-1⋅0,79⋅26673861330622,1898⋅0177112720787,1898⋅0177112720787,299⋅75899976959613,0⋅08182669825377108,3⋅859881001610751,85⋅6,0⋅2747155226734143
1306893623⋅95,1⋅9886582,6⋅9630943,-3⋅28084,-1⋅0,-0⋅3,-1⋅0,-1⋅0,88⋅6737540042431,1351⋅5529492133342,1351⋅5529492133342,299⋅246156370444,0⋅08469670714882838,3⋅8262436188697673,85⋅30000000000001,0⋅2745401399087599
1306893624⋅82,1⋅9890043,6⋅9633573,71⋅7847792,-1⋅0,-0⋅4,-1⋅0,-1⋅0,114⋅20286399333368,897⋅2523926538213,897⋅2523926538213,299⋅9632916643914,0⋅0848653124287676,3⋅7517965222114937,83⋅80000000000001,0⋅27453998680289815
1306893625⋅46,1⋅9892703,6⋅9635595,71⋅8175876,-1⋅0,-0⋅5,-1⋅0,-1⋅0,102⋅46164674411722,897⋅2523926538213,897⋅2523926538213,299⋅9632916643914,0⋅0848653124287676,3⋅7517965222114937,83⋅80000000000001,0⋅27453998680289815
1306893626⋅1,1⋅9895512,6⋅963773,71⋅85039599999999,-1⋅0,-0⋅6,-1⋅0,-1⋅0,108⋅4184279917594,1351⋅5529492133342,1351⋅5529492133342,299⋅246156370444,0⋅08469670714882842,3⋅826243618869766,85⋅30000000000001,0⋅2745401399087599
1306893626⋅55,1⋅9897601,6⋅9639317,71⋅8832044,-1⋅0,-0⋅7,-1⋅0,-1⋅0,114⋅94250395749805,1898⋅0177112720787,1898⋅0177112720787,299⋅75899976959613,0⋅08182669825377108,3⋅8598810016107503,85⋅60000000000001,0⋅2747155226734143
1306893627⋅62,1⋅9902777,6⋅9643251,71⋅8832044,-1⋅0,-0⋅8,-1⋅0,-1⋅0,120⋅00930272897743,2509⋅800170241965,2509⋅800170241965,298⋅9804132445184,0⋅08006292193120493,3⋅8675405484528236,86⋅0,0⋅27489090543806877
1306893628⋅7,1⋅9908326,6⋅9647468,71⋅8832044,-1⋅0,-0⋅9,-1⋅0,-1⋅0,127⋅78419119708964,2648⋅2295676863946,2648⋅2295676863946,300⋅2232473569709,0⋅08032099586569114,3⋅7406069010850675,88⋅0,0⋅27506628820272316
1306893629⋅57,1⋅9913132,6⋅965112,71⋅8832044,-1⋅0,-1⋅0,-1⋅0,-1⋅0,137⋅7528431299484,2393⋅5527084072855,2393⋅5527084072855,302⋅60789371208125,0⋅081340604057302,3⋅7259388647753475,88⋅0,0⋅27524167096737756
1306893630⋅44,1⋅9918176,6⋅9654953,71⋅8832044,-1⋅0,-1⋅1,-1⋅0,-1⋅0,144⋅73265207115875,2187⋅661280043117,2187⋅661280043117,301⋅72889392382154,0⋅08135859204072454,3⋅682681824794136,90⋅80000000000001,0⋅27541705373203196
1306893631⋅32,1⋅9923479,6⋅9658983,71⋅8832044,-1⋅0,-1⋅2,-1⋅0,-1⋅0,150⋅68644256232056,1971⋅893343876287,1971⋅893343876287,300⋅2862197685882,0⋅077509608429058,3⋅727666645218084,89⋅20000000000002,0⋅27559243649668635
1306893632⋅16,1⋅9928836,6⋅9663053,72⋅17848,-1⋅0,-0⋅4,-1⋅0,-1⋅0,159⋅79898096198394,1778⋅7215432797955,1778⋅7215432797955,301⋅0091250237311,0⋅07490952280680482,3⋅7139246543647393,88⋅9,0⋅2757685082377187
1306893632⋅58,1⋅9931545,6⋅9665112,72⋅6377976,-1⋅0,3⋅2,-1⋅0,-1⋅0,161⋅61617302617123,1779⋅6669444705567,1779⋅6669444705567,299⋅94913373428676,0⋅07379413284738902,3⋅749944254485789,88⋅2,0⋅2757704986139217
1306893633⋅01,1⋅9934417,6⋅9667294,72⋅96588159999999,-1⋅0,5⋅6,-1⋅0,-1⋅0,167⋅58475592043135,1626⋅4128758249472,1626⋅4128758249472,300⋅65174465987326,0⋅07479928026498105,3⋅7005917120741962,91⋅70000000000002,0⋅27577317796650264
1306893634⋅5,1⋅9944861,6⋅967523,73⋅55643280000001,-1⋅0,9⋅0,-1⋅0,-1⋅0,176⋅11592663643526,1541⋅0833653340287,1541⋅0833653340287,301⋅66987163201594,0⋅07238871468796901,3⋅6121028347536215,91⋅80000000000001,0⋅2757771587189086
1306893634⋅92,1⋅9947897,6⋅9677537,73⋅6220496,-1⋅0,9⋅5,-1⋅0,-1⋅0,181⋅70688874089817,1505⋅599296393814,1505⋅599296393814,300⋅15201471781415,0⋅07250487528990146,3⋅495662235026011,92⋅50000000000001,0⋅27578121602424543
1306893635⋅36,1⋅9951176,6⋅9680029,74⋅08136719999999,-1⋅0,9⋅9,-1⋅0,-1⋅0,187⋅56893956585384,1495⋅179529280928,1495⋅179529280928,299⋅7251552738703,0⋅07325149918997781,3⋅4631011942467755,91⋅70000000000002,0⋅2757863450706146
1306893635⋅79,1⋅9954441,6⋅968251,75⋅2296612,-1⋅0,10⋅4,-1⋅0,-1⋅0,191⋅13705029302744,1602⋅2262467147614,1602⋅2262467147614,298⋅99978654121463,0⋅07099976101463057,3⋅5089639045878687,89⋅7,0⋅2757941534695648
1306893636⋅22,1⋅9957748,6⋅9685024,77⋅3293988,-1⋅0,10⋅7,-1⋅0,-1⋅0,193⋅7775761093327,1709⋅5512813478144,1709⋅5512813478144,297⋅9999725404161,0⋅06972086304403838,3⋅397416445925496,89⋅2,0⋅2758068612560915
1306893636⋅66,1⋅9961213,6⋅9687659,80⋅708664,-1⋅0,10⋅9,-1⋅0,-1⋅0,198⋅71142919604063,1684⋅8127704037952,1684⋅8127704037952,299⋅59209462089416,0⋅06694582955194178,3⋅405903582819441,89⋅50000000000001,0⋅27582745399449915
1306893637⋅09,1⋅9964649,6⋅9690274,85⋅3346484,-1⋅0,11⋅0,-1⋅0,-1⋅0,201⋅78329578840018,1639⋅5671636460202,1639⋅5671636460202,300⋅1624187141561,0⋅06922085298135541,3⋅3826825106590834,89⋅60000000000001,0⋅2758588406961615
1306893638⋅38,1⋅9975247,6⋅9698364,108⋅00525280000001,-1⋅0,11⋅3,-1⋅0,-1⋅0,208⋅07996141183798,1374⋅4545309796672,1374⋅4545309796672,300⋅2305315443685,0⋅07052012995777923,3⋅3726696112282872,90⋅4,0⋅2759424364966864
