flight id:901
flight code:F-15C
origin:US
date:2011-06-01
from:novorossiysk
to:maykop-khanskaya
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.408162940600709
drag coef:0.016385370250972982

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631⋅32,6⋅4752918,4⋅1768605,155⋅7414748,-1⋅0,4⋅0,-1⋅0,-1⋅0,161⋅03081458591575,3064⋅291732113353,3064⋅291732113353,300⋅9989337758441,0⋅0774532158755381,3⋅683741248126447,90⋅00000000000001,0⋅3448254881674315
1306893631⋅74,6⋅475647,4⋅1769052,155⋅8399,-1⋅0,5⋅8,-1⋅0,-1⋅0,161⋅03081458591575,3111⋅3684292160838,3111⋅3684292160838,302⋅7859998594849,0⋅07783054266868335,3⋅752814853640588,89⋅70000000000002,0⋅34468501353926007
1306893632⋅16,6⋅4760197,4⋅1769521,155⋅9383252,-1⋅0,6⋅9,-1⋅0,-1⋅0,169⋅02040226871742,3267⋅0748501443018,3267⋅0748501443018,304⋅65647466706787,0⋅07914382569411253,3⋅7677081829332613,88⋅10000000000001,0⋅344653473731736
1306893632⋅58,6⋅4763879,4⋅1769985,155⋅9711336,-1⋅0,7⋅7,-1⋅0,-1⋅0,166⋅9484099148005,3193⋅4259245284566,3193⋅4259245284566,304⋅8943517402803,0⋅07851593722284597,3⋅77250822350602,88⋅50000000000001,0⋅34463379962849894
1306893633⋅01,6⋅4767784,4⋅1770476,155⋅9711336,-1⋅0,8⋅2,-1⋅0,-1⋅0,172⋅80861031403637,3443⋅355840735891,3443⋅355840735891,303⋅6581294902452,0⋅0791078877414152,3⋅6700598908045037,89⋅80000000000001,0⋅34462300566524434
1306893634⋅5,6⋅4781979,4⋅1772264,158⋅2021048,-1⋅0,9⋅7,-1⋅0,-1⋅0,181⋅18971502558833,3443⋅3558407358923,3443⋅3558407358923,303⋅6581294902452,0⋅0791078877414152,3⋅6700598908045037,89⋅80000000000003,0⋅34462300566524434
1306893634⋅92,6⋅4786099,4⋅1772783,160⋅597118,-1⋅0,9⋅9,-1⋅0,-1⋅0,186⋅69430186524684,3193⋅4259245284557,3193⋅4259245284557,304⋅8943517402803,0⋅07851593722284597,3⋅7725082235060206,88⋅5,0⋅34463379962849894
1306893635⋅36,6⋅4790541,4⋅1773343,164⋅40289239999998,-1⋅0,10⋅1,-1⋅0,-1⋅0,191⋅8589727311729,3267⋅074850144303,3267⋅074850144303,304⋅65647466706787,0⋅07914382569411252,3⋅7677081829332613,88⋅1,0⋅344653473731736
1306893635⋅79,6⋅4794954,4⋅1773901,169⋅455386,-1⋅0,10⋅3,-1⋅0,-1⋅0,195⋅35475884990876,3111⋅3684292160833,3111⋅3684292160833,302⋅7859998594849,0⋅07783054266868335,3⋅752814853640588,89⋅7,0⋅34468501353926007
1306893637⋅95,6⋅4818114,4⋅1776862,216⋅04331399999998,0⋅1,10⋅3,-1⋅0,-1⋅0,204⋅32060098468077,3064⋅291732113353,3064⋅291732113353,300⋅9989337758441,0⋅07745321587553809,3⋅683741248126447,90⋅00000000000003,0⋅34482548816743164
