flight id:a01
flight code:F-16A
origin:US
date:2011-06-01
from:krymsk
to:sochi-adler
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631⋅32,3⋅9486208,5⋅4467126,104⋅2979036,-1⋅0,5⋅0,-1⋅0,-1⋅0,173⋅7162389499265,22293⋅559196760398,294⋅91721040618023,0⋅06808028276054792,3⋅728951786556898,90⋅0,0⋅2945283640431157
1306893631⋅74,3⋅9482558,5⋅4465985,104⋅4291372,-1⋅0,6⋅5,-1⋅0,-1⋅0,173⋅7162389499265,20012⋅326231597333,295⋅09763671854967,0⋅06752432961811994,3⋅7509668383680936,90⋅5,0⋅2943960040256179
1306893632⋅16,3⋅9478735,5⋅446479,104⋅5275624,-1⋅0,7⋅4,-1⋅0,-1⋅0,181⋅63961978702787,18072⋅310684177995,293⋅1667144267371,0⋅06541429877223544,3⋅7106856147324074,91⋅5,0⋅2943543592312172
1306893632⋅58,3⋅9474962,5⋅4463611,104⋅5931792,-1⋅0,8⋅0,-1⋅0,-1⋅0,179⋅37518111975177,17017⋅03047254621,293⋅1939113255001,0⋅06769475222802042,3⋅753470358119062,93⋅0,0⋅29432702983489173
1306893633⋅01,3⋅9470966,5⋅4462362,104⋅658796,-1⋅0,8⋅4,-1⋅0,-1⋅0,185⋅54211955966952,16118⋅788780692,293⋅5024708785403,0⋅0697488618646764,3⋅700374141503791,92⋅5,0⋅2943108771664753
1306893634⋅5,3⋅9456465,5⋅445783,108⋅3661452,-1⋅0,9⋅9,-1⋅0,-1⋅0,194⋅17764092080319,16118⋅788780691995,293⋅5024708785403,0⋅06974886186467638,3⋅700374141503791,92⋅5,0⋅2943108771664753
1306893634⋅92,3⋅9452248,5⋅4456513,111⋅58136839999999,-1⋅0,10⋅1,-1⋅0,-1⋅0,200⋅35871326395906,17017⋅03047254621,293⋅1939113255001,0⋅0676947522280204,3⋅753470358119062,93⋅0,0⋅29432702983489173
1306893635⋅36,3⋅944769,5⋅445509,116⋅305778,-1⋅0,10⋅3,-1⋅0,-1⋅0,206⋅62966173210089,18072⋅310684177995,293⋅1667144267371,0⋅06541429877223544,3⋅7106856147324074,91⋅5,0⋅29435435923121717
1306893635⋅79,3⋅9443148,5⋅4453675,122⋅37533199999999,-1⋅0,10⋅4,-1⋅0,-1⋅0,210⋅60964806224223,20012⋅32623159733,295⋅09763671854967,0⋅06752432961811994,3⋅750966838368093,90⋅5,0⋅2943960040256179
1306893637⋅52,3⋅9424082,5⋅4447765,161⋅1548608,-0⋅1,10⋅4,-1⋅0,-1⋅0,219⋅84500525183086,22293⋅559196760398,294⋅91721040618023,0⋅06808028276054791,3⋅728951786556898,90⋅00000000000001,0⋅2945283640431157
1306893638⋅8,3⋅940859,5⋅4443015,206⋅8241536,-0⋅2,10⋅5,-1⋅0,-1⋅0,241⋅4641103999274,24519⋅551354929754,292⋅3512723456471,0⋅06634541078481833,3⋅717475173737096,89⋅4,0⋅2947675919521271
1306893639⋅66,3⋅9397457,5⋅4439638,247⋅1456772,-0⋅2,10⋅5,-1⋅0,-1⋅0,258⋅27957916223863,27244⋅871160437167,294⋅80695715566094,0⋅06539378923358533,3⋅606569103738474,90⋅30000000000001,0⋅2951005972014709
1306893640⋅09,3⋅939174,5⋅443792,270⋅0459404,-0⋅4,10⋅5,-1⋅0,-1⋅0,265⋅3478349686431,31101⋅638492275375,294⋅7206612921821,0⋅0685588320402689,3⋅69075250125209,92⋅00000000000001,0⋅2954868067377789
1306893640⋅51,3⋅9385951,5⋅443619,294⋅5538152,-0⋅5,10⋅3,246⋅7,-1⋅0,275⋅0485522087121,35570⋅082671376316,293⋅89956584621547,0⋅06990249457083768,3⋅656349205858785,91⋅8,0⋅29593004820759516
1306893640⋅95,3⋅9379756,5⋅443435,322⋅0800628,-0⋅6,10⋅3,246⋅7,-1⋅0,280⋅99108744807046,41707⋅76504802639,294⋅69537336829075,0⋅06880095628352031,3⋅678480506759989,90⋅8,0⋅296437364480561
1306893641⋅79,3⋅9367474,5⋅4430738,379⋅46195439999997,-0⋅9,10⋅1,246⋅7,-1⋅0,291⋅62842716816635,48419⋅68457880652,293⋅6676264072822,0⋅06853802472085917,3⋅624294740743561,90⋅39999999999999,0⋅29706992134845256
1306893642⋅22,3⋅936102,5⋅442886,409⋅8097244,-1⋅1,9⋅9,246⋅7,-1⋅0,298⋅96362101972505,55033⋅827665466975,293⋅8242768419672,0⋅07062743187253771,3⋅5190127569759366,88⋅00000000000001,0⋅29776578749018484
1306893642⋅64,3⋅9354538,5⋅4426986,439⋅5341348,-1⋅3,9⋅5,246⋅7,-1⋅0,306⋅9117462228929,61491⋅95498664837,294⋅33889952611474,0⋅07429907698768878,3⋅604555871103991,87⋅2,0⋅29851998696525045
1306893643⋅06,3⋅9347886,5⋅4425075,468⋅6351856,-1⋅5,8⋅9,246⋅7,-1⋅0,314⋅2175307664696,67524⋅39760018534,291⋅79451330314396,0⋅07209113989381759,3⋅6644697680866587,89⋅0,0⋅2993279265977964
1306893643⋅48,3⋅9341121,5⋅4423143,496⋅2926668,-1⋅7,8⋅5,246⋅5,-1⋅0,318⋅7792482150313,73077⋅5661381271,292⋅49287681819874,0⋅07215893955079725,3⋅6592514740607758,89⋅3,0⋅30010991478677274
1306893643⋅9,3⋅9334141,5⋅442116,522⋅3753448,-2⋅0,8⋅1,246⋅5,-1⋅0,328⋅11202896250666,78739⋅22235841803,294⋅4914142446477,0⋅07155313166311837,3⋅677481999871498,87⋅80000000000001,0⋅3008462008760116
1306893644⋅33,3⋅9326905,5⋅4419112,546⋅7191776,-2⋅3,7⋅8,246⋅5,-1⋅0,331⋅5624388906319,85153⋅18152034526,292⋅8933505212149,0⋅07178959418206443,3⋅748325648620881,88⋅30000000000001,0⋅30154520568791016
1306893644⋅75,3⋅9319561,5⋅441704,568⋅5367636,-2⋅7,7⋅6,246⋅4,-1⋅0,343⋅7707417862036,91116⋅95213959995,293⋅1434713906383,0⋅06925948922487239,3⋅6359416926064663,86⋅50000000000001,0⋅3022416842530895
1306893645⋅18,3⋅9311823,5⋅4414861,588⋅582696,-3⋅1,7⋅6,246⋅4,-1⋅0,353⋅2159440026453,98015⋅72369815636,294⋅4496955658464,0⋅06593930283505772,3⋅6784868139800295,86⋅20000000000002,0⋅3029277516196687
1306893645⋅62,3⋅9303845,5⋅4412613,606⋅7585496,-3⋅5,7⋅7,246⋅3,-1⋅0,355⋅5726001164223,105669⋅72512529796,295⋅369546408013,0⋅06578860087517367,3⋅5989378843069133,88⋅4,0⋅303592001400946
1306893646⋅04,3⋅9296029,5⋅4410397,623⋅3596,-3⋅8,8⋅1,246⋅2,-1⋅0,364⋅95093338074645,112869⋅9262450326,297⋅2146840362443,0⋅06693974516988209,3⋅589803512897217,87⋅4,0⋅304161095889135
1306893646⋅47,3⋅9287863,5⋅4408067,640⋅4199679999999,-4⋅2,8⋅5,246⋅1,-1⋅0,372⋅80029422208656,120817⋅7731628386,298⋅9516945650421,0⋅06649818396765811,3⋅6575743606067777,88⋅0,0⋅30469918644031607
1306893646⋅89,3⋅9279598,5⋅4405689,658⋅2677375999999,-4⋅4,8⋅9,246⋅0,-1⋅0,386⋅89152731078644,129044⋅02772607333,298⋅66917522501376,0⋅06606733833638208,3⋅6745424120700334,89⋅9,0⋅30520956483051725
1306893647⋅31,3⋅9271378,5⋅4403305,677⋅165376,-4⋅6,9⋅3,246⋅0,-1⋅0,385⋅3434782512547,137645⋅6088998864,300⋅4032436343903,0⋅0670014081106234,3⋅634267169677872,88⋅89999999999999,0⋅3056961352592137
1306893647⋅73,3⋅9262916,5⋅4400829,698⋅0643268,-4⋅6,9⋅5,245⋅7,-1⋅0,397⋅2011102684418,145027⋅3434221125,301⋅92351493809144,0⋅06912210001240576,3⋅6070432167051907,91⋅7,0⋅30616693578414805
1306893648⋅15,3⋅9254371,5⋅4398308,720⋅7677396,-4⋅8,9⋅7,245⋅6,-1⋅0,401⋅9572319984285,153822⋅7013824343,300⋅76425155453927,0⋅06990881095223218,3⋅61893096816832,90⋅5,0⋅30662985135720144
1306893648⋅58,3⋅924537,5⋅4395631,746⋅2598664,-4⋅8,9⋅7,245⋅4,-1⋅0,414⋅1668639918756,161520⋅64499016246,299⋅85467507894685,0⋅07101381264603077,3⋅6469655578501015,90⋅10000000000001,0⋅30709544628283575
1306893649⋅0,3⋅9236646,5⋅4393018,772⋅6050116,-6⋅8,12⋅8,245⋅3,-1⋅0,411⋅85024038221655,169540⋅1876993259,300⋅79883583585604,0⋅0730777647471709,3⋅7154507584814325,91⋅5,0⋅30757160551293194
1306893649⋅44,3⋅9227286,5⋅4390168,806⋅0039628,-25⋅6,14⋅0,244⋅6,-1⋅0,423⋅5527410190132,176511⋅55364498697,299⋅65632999953914,0⋅07658830320128232,3⋅6842625918270984,91⋅10000000000001,0⋅3080789217858978
1306893649⋅86,3⋅9218414,5⋅4387326,842⋅9790296,-39⋅9,15⋅3,243⋅0,-1⋅0,425⋅2313359037211,183726⋅9778866504,297⋅74827108612425,0⋅0772088730083436,3⋅7615259168535147,90⋅3,0⋅30863010288826004
1306893650⋅29,3⋅9209294,5⋅4384172,885⋅5643328000001,-42⋅8,14⋅8,241⋅3,-1⋅0,433⋅91207637770145,188981⋅56752646508,296⋅7299733429882,0⋅07865302896522536,3⋅8647093742095735,90⋅2,0⋅3092419139118821
