flight id:b01
flight code:F-15E
origin:US
date:2011-06-01
from:kobuleti
to:nalchik
motor(s):2
mass aircraft:37637
mass fuel:37637
lift coef:1.6723900635573576
drag coef:0.01254232652701665

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631⋅32,3⋅1802899,7⋅0335739,-3⋅28084,-1⋅0,-0⋅7,-1⋅0,-1⋅0,172⋅28322021438876,958⋅0203922935096,958⋅0203922935096,297⋅93539581722473,0⋅072672845567701,3⋅5146846347044893,88⋅30000000000001,0⋅289566510921515
1306893632⋅58,3⋅1811981,7⋅0340873,119⋅3569592,-1⋅0,2⋅4,-1⋅0,-1⋅0,172⋅28322021438876,1198⋅7944340003612,1198⋅7944340003612,296⋅7425147023887,0⋅07246244634981125,3⋅467819703230853,87⋅60000000000001,0⋅2894455572907188
1306893633⋅01,3⋅1815218,7⋅0342703,119⋅5538096,-1⋅0,4⋅8,-1⋅0,-1⋅0,166⋅14464509704828,1856⋅7119504962118,1856⋅7119504962118,297⋅9555170590767,0⋅07319751079979679,3⋅422051513488479,90⋅7,0⋅28943093568092
1306893634⋅5,3⋅1826997,7⋅0349361,119⋅8490852,-1⋅0,8⋅2,-1⋅0,-1⋅0,174⋅66899983781914,2676⋅101745996617,2676⋅101745996617,297⋅9265968297249,0⋅07238399203601481,3⋅548865715499364,93⋅4,0⋅2894239693642096
1306893634⋅92,3⋅1830425,7⋅0351298,119⋅8490852,-1⋅0,8⋅6,-1⋅0,-1⋅0,180⋅45234225927172,3289⋅9308052119886,3289⋅9308052119886,297⋅70450860906857,0⋅06869191756470902,3⋅4890013205911266,92⋅20000000000002,0⋅28942113690576693
1306893635⋅36,3⋅1834127,7⋅0353391,120⋅17716920000001,-1⋅0,9⋅0,-1⋅0,-1⋅0,186⋅089553859882,3289⋅9308052119886,3289⋅9308052119886,297⋅70450860906857,0⋅06869191756470902,3⋅489001320591127,92⋅2,0⋅289421136905767
1306893635⋅79,3⋅1837813,7⋅0355475,121⋅062996,-1⋅0,9⋅5,-1⋅0,-1⋅0,189⋅84801849286617,2676⋅101745996617,2676⋅101745996617,297⋅9265968297249,0⋅07238399203601481,3⋅548865715499363,93⋅4,0⋅2894239693642096
1306893636⋅22,3⋅1841549,7⋅0357587,122⋅83464959999999,-1⋅0,9⋅8,-1⋅0,-1⋅0,192⋅39424881005493,1856⋅711950496212,1856⋅711950496212,297⋅9555170590767,0⋅07319751079979678,3⋅4220515134884786,90⋅7,0⋅28943093568092
1306893636⋅66,3⋅1845465,7⋅0359802,125⋅820214,-1⋅0,10⋅0,-1⋅0,-1⋅0,197⋅27367084356288,1198⋅7944340003617,1198⋅7944340003617,296⋅7425147023887,0⋅07246244634981125,3⋅4678197032308526,87⋅60000000000002,0⋅2894455572907188
1306893639⋅24,3⋅1869576,7⋅0373501,171⋅1942312,0⋅1,10⋅0,-1⋅0,-1⋅0,207⋅90375089869286,958⋅0203922935099,958⋅0203922935099,297⋅93539581722473,0⋅072672845567701,3⋅5146846347044898,88⋅30000000000001,0⋅289566510921515
