flight id:c01
flight code:F-16A
origin:US
date:2011-06-01
from:kutaisi
to:kobuleti
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893618⋅37,7⋅626053,5⋅5101195,-3⋅28084,-1⋅0,-0⋅3,-1⋅0,-1⋅0,60⋅839759165093234,138011⋅93269614957,303⋅7886781216014,0⋅06712323844641553,3⋅749007078580118,87⋅7,0⋅2899280587538024
1306893621⋅8,7⋅6270983,5⋅51051,-3⋅28084,-1⋅0,-0⋅4,-1⋅0,-1⋅0,60⋅839759165093234,103507⋅87169343393,303⋅63479711843695,0⋅06767736639492512,3⋅7167081402641533,87⋅10000000000001,0⋅2866157665403291
1306893623⋅52,7⋅6278048,5⋅5107738,-3⋅28084,-1⋅0,-0⋅5,-1⋅0,-1⋅0,82⋅33182032401709,69005⋅22765600235,304⋅7092350525219,0⋅0651995938592742,3⋅7982336559195207,89⋅10000000000001,0⋅2833039336444411
1306893624⋅6,7⋅6283082,5⋅5109619,-3⋅28084,-1⋅0,-0⋅6,-1⋅0,-1⋅0,93⋅53357413026268,34503⋅479321040875,304⋅2600226213114,0⋅06620445082059502,3⋅8671857270814183,87⋅80000000000001,0⋅2799921007485531
1306893625⋅46,7⋅6287452,5⋅5111251,-3⋅28084,-1⋅0,-0⋅7,-1⋅0,-1⋅0,102⋅25956836420433,289⋅49600030768914,303⋅76253637711665,0⋅06645561129846599,3⋅8057630758649994,90⋅8,0⋅27668026785266503
1306893626⋅33,7⋅6292199,5⋅5113024,1416⋅0761608,-1⋅0,-0⋅8,-1⋅0,-1⋅0,1117⋅775151502903,289⋅4960003076892,303⋅76253637711665,0⋅06645561129846599,3⋅8057630758649994,90⋅8,0⋅27668026785266503
1306893627⋅4,7⋅6298394,5⋅5115338,1416⋅0761608,-1⋅0,-0⋅9,-1⋅0,-1⋅0,116⋅62868742463681,34503⋅47932104086,304⋅2600226213114,0⋅06620445082059502,3⋅8671857270814183,87⋅8,0⋅2799921007485531
1306893628⋅7,7⋅6306608,5⋅5118405,1416⋅0761608,-1⋅0,-1⋅0,-1⋅0,-1⋅0,127⋅32004470314911,69005⋅22765600235,304⋅7092350525219,0⋅06519959385927421,3⋅7982336559195202,89⋅1,0⋅28330393364444106
1306893630⋅01,7⋅6315608,5⋅5121767,1416⋅0761608,-1⋅0,-1⋅1,-1⋅0,-1⋅0,138⋅6865859847437,103507⋅87169343393,303⋅63479711843695,0⋅06767736639492511,3⋅7167081402641533,87⋅1,0⋅28661576654032905
1306893630⋅65,7⋅6320233,5⋅5123494,1416⋅2730112,-1⋅0,0⋅8,-1⋅0,-1⋅0,145⋅96080095593868,138011⋅93269614957,303⋅7886781216014,0⋅06712323844641555,3⋅7490070785801177,87⋅7,0⋅2899280587538024
