flight id:501
flight code:Tu-142
origin:RU
date:2011-06-01
from:krasnodar center
to:novorossiysk
motor(s):4
mass aircraft:96000.025248
mass fuel:96000.025248
lift coef:1.5098032749390164
drag coef:0.017311591591697872

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,engine_2,engine_3,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893651.15,5.8544104,3.9282649,-1.0,-1.0,1.1,-1.0,634916.31,-318222.81,-1.0,50.03768929419622,21371702.26022393,21371702.26022393,21371702.26022393,21371702.26022393,24.914828572846776,7.509889195391588,25070.99653910849,89.4,29.54299754539646
1306893663.79,5.86171,3.9296268,-1.0,-1.0,1.0,-1.0,635506.5,-318008.31,-1.0,50.03768929419622,25612757.17339503,25612757.17339503,25612757.17339503,25612757.17339503,27.437440452353442,7.493794841000048,24256.962180949122,91.5,29.470088534022885
1306893705.11,5.9020464,3.9372573,99.6,1.1,6.6,-1.0,638766.06,-316810.41,-1.0,84.31027827999617,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,26.898706179438918,7.422444828111279,24575.172311626397,93.1,29.473594658257355
1306893705.97,5.9030301,3.9374466,99.04,1.1,6.5,77.0,638845.56,-316780.81,-1.0,98.82950318745638,14651657.609383143,14651657.609383143,14651657.609383143,14651657.609383143,28.036167265562856,7.254629004352584,24856.863993819028,91.10000000000001,29.475577379167245
1306893706.19,5.9032916,3.9374964,98.64,1.1,6.4,77.0,638866.69,-316773.0,-1.0,102.60552679231037,12913524.271423776,12913524.271423776,12913524.271423776,12913524.271423776,28.844115360625835,6.963150193617315,25138.460532005203,90.4,29.476786915475202
1306893706.63,5.9037975,3.9375924,97.65,1.1,6.3,77.0,638907.56,-316757.94,-1.0,99.22011548662987,12913524.271423774,12913524.271423774,12913524.271423774,12913524.271423774,28.844115360625832,6.963150193617314,25138.460532005203,90.4,29.476786915475202
1306893706.84,5.9040524,3.9376405,97.06,1.1,6.2,77.0,638928.13,-316750.38,-1.0,104.59647900360753,14651657.609383142,14651657.609383142,14651657.609383142,14651657.609383142,28.036167265562852,7.254629004352584,24856.863993819024,91.10000000000001,29.47557737916724
1306893707.05,5.9042916,3.9376854,96.45,1.1,6.1,77.1,638947.44,-316743.28,-1.0,98.22176902852085,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,26.898706179438918,7.422444828111278,24575.172311626397,93.10000000000002,29.473594658257355
1306893707.48,5.9048008,3.9377805,95.02,1.1,6.0,77.1,638988.63,-316728.31,-1.0,102.19680808811309,25612757.173395038,25612757.173395038,25612757.173395038,25612757.173395038,27.437440452353442,7.493794841000046,24256.962180949122,91.50000000000003,29.470088534022885
1306893707.7,5.9050568,3.937828,94.24,1.0,5.9,77.1,639009.31,-316720.78,-1.0,100.32132719968853,21371702.260223925,21371702.260223925,21371702.260223925,21371702.260223925,24.914828572846776,7.509889195391585,25070.996539108495,89.4,29.54299754539646
1306893708.12,5.9055605,3.9379211,92.64,1.0,6.0,77.2,639050.06,-316706.06,-1.0,103.46033258753401,13433897.00190994,13433897.00190994,13433897.00190994,13433897.00190994,24.681492525855,7.466967186479577,25823.30302253294,88.9,29.6146817098759
1306893708.34,5.9058213,3.937969,91.83,0.9,6.1,77.2,639071.13,-316698.47,-1.0,102.10009792450819,3552435.467431008,3552435.467431008,3552435.467431008,3552435.467431008,23.641613986546997,7.452832533255633,26128.117133778494,87.0,29.685745795615183
1306893708.56,5.906095,3.9380192,91.05,0.9,6.3,77.2,639093.25,-316690.5,-1.0,107.16151099176727,7450487.564722869,7450487.564722869,7450487.564722869,7450487.564722869,24.031268257198416,7.461802505847836,26266.287357406,86.30000000000001,29.679200520024633
1306893708.77,5.906343,3.9380645,90.43,0.9,6.5,77.2,639113.31,-316683.31,-1.0,101.76230976474069,5406610.325064779,5406610.325064779,5406610.325064779,5406610.325064779,23.76782574996891,7.705129535063842,25762.103014944387,89.5,29.672609312675547
1306893708.99,5.9066061,3.9381124,89.89,0.8,6.9,77.2,639134.63,-316675.72,-1.0,103.15059666991547,5191246.720046033,5191246.720046033,5191246.720046033,5191246.720046033,22.22275029265149,7.865775346240983,25910.66401054463,91.70000000000002,29.66591093122323
