flight id:101
flight code:MiG-29A
origin:RU
date:2011-06-01
from:maykop-khanskaya
to:beslan
motor(s):2
mass aircraft:10922.041768
mass fuel:10922.041768
lift coef:1.604765498192893
drag coef:0.011066253455886965

longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
2.011986,6.5731802,-1.0,-1.0,1.6,-1.0,-1.0,85.35873000765979,6535382.124524599,6535382.124524599,24.76601484420419,7.454790109724546,24662.064621603196,89.7,25.313667767411935
2.0114221,6.572756,23.69,-1.0,4.0,-1.0,-1.0,85.35873000765979,5913005.59798551,5913005.59798551,27.324203869328407,7.517911124071439,24011.833094130026,90.4,25.302261380710274
2.0111373,6.5725418,23.73,-1.0,6.0,-1.0,-1.0,80.94564893259495,5247405.787555491,5247405.787555491,27.808840732277744,7.812789795273401,24411.577014610473,87.5,25.299872929266705
2.0108356,6.5723149,23.75,-1.0,7.3,-1.0,-1.0,83.64307780811362,4660946.491615031,4660946.491615031,26.12767464224911,7.669115437867513,24613.37650628547,86.7,25.299153331716397
2.0097405,6.5714913,23.79,-1.0,9.2,-1.0,-1.0,87.473474325875,4419951.259026266,4419951.259026266,24.89437592110902,7.739987330833059,24768.575907896487,88.3,25.29887774116522
2.0094227,6.5712523,23.87,-1.0,9.6,-1.0,-1.0,89.98005171215121,4419951.259026266,4419951.259026266,24.894375921109017,7.73998733083306,24768.575907896487,88.3,25.29887774116522
2.0090796,6.5709942,24.15,-1.0,10.1,-1.0,-1.0,92.67678691669505,4660946.491615031,4660946.491615031,26.12767464224912,7.669115437867513,24613.376506285476,86.7,25.2991533317164
2.008738,6.5707374,24.69,-1.0,10.4,-1.0,-1.0,94.34714108294148,5247405.787555491,5247405.787555491,27.80884073227774,7.812789795273401,24411.577014610484,87.5,25.29987292926671
2.0080283,6.5702041,26.85,-1.0,10.7,-1.0,-1.0,96.76473436643244,5913005.59798551,5913005.59798551,27.324203869328407,7.517911124071439,24011.83309413004,90.4,25.302261380710274
2.0061722,6.5688156,38.59,-0.1,10.7,-1.0,-1.0,102.60647870449135,6535382.124524599,6535382.124524599,24.766014844204193,7.454790109724548,24662.064621603196,89.7,25.313667767411935
2.0049501,6.5679092,50.22,-0.2,10.7,-1.0,-1.0,111.5361724677021,7099773.705342441,7099773.705342441,25.273121210061444,7.7398787254919705,25159.82932058882,89.4,25.35287817861054
2.0036221,6.5669334,66.24,-0.4,10.7,-1.0,-1.0,121.53686940107076,7682659.328588276,7682659.328588276,23.030902523410987,8.015194076194426,25426.65868823789,90.10000000000001,25.385451450701527
2.0031554,6.5665932,72.62,-0.5,10.7,-1.0,-1.0,129.65892004549875,8498396.775188213,8498396.775188213,22.882027634539607,8.043408573258768,25142.513271584852,91.8,25.422878178610535
2.002672,6.5662431,79.57,-0.6,10.7,-1.0,-1.0,130.81383309582975,10186296.315805208,10186296.315805208,23.55181807175585,8.178277319432864,25242.132527092683,88.8,25.465610024629783
2.0021831,6.5658932,86.89,-0.6,10.6,223.4,-1.0,134.6561553332774,12132258.868852977,12132258.868852977,24.77374106893613,7.887695202993075,25422.92233106807,88.7,25.513914924017357
2.0016784,6.5655363,94.69,-0.9,10.5,223.4,-1.0,138.15642701472476,14436230.72019321,14436230.72019321,24.729983793124255,7.8789372570015885,25751.328126302626,90.30000000000001,25.568129709669158
2.0011641,6.5651754,102.84,-1.2,10.4,223.4,-1.0,140.28031224249833,16782934.40252836,16782934.40252836,24.10242018542707,7.841930994981604,25679.33670529299,88.89999999999999,25.62836921098149
2.0006333,6.5648046,111.33,-1.4,10.2,223.3,-1.0,144.4052063702879,18414280.857907984,18414280.857907984,24.76015672817346,7.93936208849848,25669.221141039146,88.20000000000002,25.694694670299075
2.0000829,6.5644219,120.05,-1.7,9.9,223.3,-1.0,145.87741975020705,19610828.95636802,19610828.95636802,23.62095562812859,7.91820246428525,26288.842123413153,88.3,25.766042001882628
1.999524,6.564035,128.71,-2.1,9.7,223.3,-1.0,151.1656802785491,20478596.089954264,20478596.089954264,26.044299799758893,8.214455930803839,26088.44248005005,88.4,25.835031503194966
1.9989348,6.5636287,137.54,-2.5,9.5,223.3,-1.0,155.1592644137035,21381807.35992957,21381807.35992957,24.971997111183935,8.147258834675146,25508.04287244615,88.2,25.90187752244256
1.9983266,6.5632109,146.28,-2.9,9.3,223.1,-1.0,156.18264184120676,22494521.24920983,22494521.24920983,25.46333850841343,7.957391703948807,25826.387320155234,89.89999999999999,25.963150488321823
1.9977294,6.5628014,154.48,-3.4,9.3,223.1,-1.0,160.27612993243338,23878236.31632158,23878236.31632158,24.104576744335716,7.8444829314769775,25788.62446942781,91.1,26.02581671754317
1.9971051,6.5623721,162.69,-3.8,9.3,223.1,-1.0,163.7602035899858,25349314.53094964,25349314.53094964,25.35662256095646,7.972972667416226,25248.136571171763,91.30000000000001,26.089447513693653
1.9964722,6.5619353,170.65,-4.2,9.3,222.9,-1.0,170.08538869012062,26954400.750626262,26954400.750626262,24.198009126908577,8.096156331464744,24673.652828450904,92.00000000000001,26.153568248601786
1.9958419,6.5614982,178.28,-4.4,9.3,222.8,-1.0,169.7054185917551,28770140.388284717,28770140.388284717,22.403577076992505,7.982440734884613,24013.655951116354,90.80000000000001,26.217558843527417
1.9951918,6.5610453,185.98,-4.6,9.3,222.7,-1.0,175.2844685575913,30311515.236567363,30311515.236567363,23.032678259232462,7.797965253042844,23917.444637413915,91.70000000000002,26.281204950264076
1.9945347,6.5605851,193.79,-4.6,9.5,222.6,-1.0,177.6384540807431,32457210.621215165,32457210.621215165,22.548929856189343,7.720897048103431,23617.994079247772,90.9,26.344330497070725
1.9938421,6.5600974,202.22,-5.0,11.0,222.6,-1.0,183.32865295153084,34313809.74106105,34313809.74106105,23.625676425203995,8.006206629853343,23792.78848542933,88.50000000000001,26.407234040377816
1.9931736,6.5596235,211.31,-16.7,13.0,222.1,-1.0,182.0369336873166,36354601.169819914,36354601.169819914,21.53124863632307,7.794193498541114,23474.100875952183,91.30000000000001,26.470466761287703
1.9924673,6.5591096,222.65,-36.4,14.7,220.8,-1.0,186.5425736119177,37957720.87559641,37957720.87559641,23.1714578708565,7.923494046557268,23152.572596477326,92.30000000000001,26.535620960762767
1.9918126,6.5586073,234.76,-42.1,14.9,219.1,-1.0,186.73075046338266,39569044.910997584,39569044.910997584,23.99060189224773,8.13617694960686,22853.459540316577,90.5,26.603354994008612
1.9911527,6.5580702,248.26,-45.2,14.3,217.4,-1.0,190.35735409690872,40754838.14824235,40754838.14824235,24.035510371689583,8.16636869710277,23118.72142379661,89.7,26.675146332591293
1.9905382,6.5575442,261.38,-51.1,12.7,216.2,-1.0,187.09030879256105,41944880.5590838,41944880.5590838,22.21681734968312,8.176826870395672,23567.87965746673,92.9,26.750696420080356
1.9899048,6.5569804,274.67,-54.2,11.3,215.2,-1.0,188.21967045391895,43160445.416405864,43160445.416405864,23.339004069585094,8.222493705800364,23696.20271125139,89.80000000000001,26.830326778785516
1.9892935,6.556419,286.79,-55.3,10.1,214.4,-1.0,189.25428807703128,44423603.784978464,44423603.784978464,25.023417111894492,8.336459784015805,24055.860214647695,89.60000000000001,26.91339436408735
1.9886922,6.5558525,297.81,-56.9,9.2,213.8,-1.0,193.25467184652408,46045418.72803066,46045418.72803066,24.450626513637967,8.621349015323826,24035.14053350108,89.10000000000001,26.99900350669452
1.9880762,6.5552569,308.15,-58.1,8.6,213.1,-1.0,196.27057676001218,47866021.66373441,47866021.66373441,23.05189472065603,8.611757844824185,24086.70805469492,87.60000000000001,27.08654943845306
1.987468,6.5546516,317.45,-58.5,8.0,212.3,-1.0,201.84430659161936,50509864.53482069,50509864.53482069,22.189110586948427,8.33086963167534,23742.911867892457,88.9,27.174761380710276
1.9868561,6.5540228,325.96,-59.0,7.5,211.4,-1.0,202.4118599619582,54099466.0114225,54099466.0114225,23.508011038199705,8.602463569387307,23927.982869327265,85.80000000000001,27.26252931596836
1.9862256,6.5533507,333.93,-59.5,6.9,210.4,-1.0,208.75259188073576,58247156.08700398,58247156.08700398,22.399655003101852,8.21219472536705,24410.261636498413,86.9,27.34771741745568
1.9856355,6.5526954,340.74,-59.7,6.5,209.3,-1.0,210.4847724722316,63329845.3853377,63329845.3853377,21.70048946024441,7.980769504701602,24021.2216209025,86.4,27.42884821360616
1.985051,6.5520171,346.94,-59.8,6.2,208.2,-1.0,215.01939225473723,68981760.08228497,68981760.08228497,23.736034514468567,8.070790229255168,23951.08715409892,84.10000000000001,27.504390645802136
1.9844717,6.5513117,352.61,-60.0,5.9,207.0,-1.0,215.6187567892926,74468932.17880775,74468932.17880775,24.424938753397463,8.090914832630077,23899.247829477776,81.60000000000001,27.57422988464728
1.9839081,6.5505884,357.74,-60.0,5.6,205.7,-1.0,223.31624725356338,79793407.33189516,79793407.33189516,24.433271933505765,7.854016985565693,24018.5992737059,81.00000000000001,27.637822404332322
1.9833644,6.549851,362.37,-60.0,5.3,204.4,-1.0,219.63140186704499,86145294.92801885,86145294.92801885,23.678720102290765,7.731212322515054,23808.948874346126,81.60000000000001,27.695681109494178
1.9828442,6.5491031,366.54,-60.0,5.2,203.0,-1.0,225.3264266525868,91393997.8282461,91393997.8282461,25.10138967819422,7.728059952316412,24501.393417006086,82.80000000000001,27.7482959388905
1.9823491,6.5483451,370.3,-60.0,5.0,201.5,-1.0,225.67286952118417,97182381.90468849,97182381.90468849,26.280655113046155,7.826628400454343,25098.260101649124,82.30000000000001,27.79587358543468
1.9821108,6.5479613,372.04,-60.0,5.0,200.8,-1.0,226.55240098768962,103096947.6633802,103096947.6633802,28.12882014003151,8.190992528518485,24695.573525993746,83.00000000000001,27.83766383040406
1.9816528,6.5471824,375.29,-60.0,5.0,199.3,-1.0,222.77681303791226,107888791.11636804,107888791.11636804,28.602305769454986,7.973703410136705,24337.702939020463,84.50000000000001,27.875427391208962
1.981226,6.5463976,378.21,-60.2,5.0,197.7,-1.0,227.25639502663282,111434779.865507,111434779.865507,30.64011963986523,8.10178370635276,23947.7310785479,83.50000000000001,27.909325029004236
1.9808179,6.5455795,380.94,-60.2,5.0,196.1,-1.0,223.91176783761705,115224494.03441755,115224494.03441755,30.921667863426727,8.068241344046022,24545.352931276284,82.90000000000002,27.94009930721946
1.980458,6.5447863,383.31,-60.2,5.0,194.4,-1.0,220.1250714737725,117222537.94331545,117222537.94331545,30.304173755046957,8.08482701735733,24896.226518793475,86.7,27.96794160818184
1.9801168,6.543951,385.57,-60.2,5.0,192.7,-1.0,224.45037487778342,116848133.32440546,116848133.32440546,31.60222673590327,8.000544174499144,25176.19858630542,88.50000000000001,27.993173454201084
1.9798205,6.5431347,387.56,-60.2,4.4,191.0,-1.0,222.70881521000973,118416435.4125284,118416435.4125284,31.329345142833823,8.100872217454226,25659.108512619565,92.20000000000002,28.01600153819059
1.9795622,6.5423231,389.37,-60.2,4.4,189.3,-1.0,225.06147521222616,118395473.44977075,118395473.44977075,31.63512119522385,7.942973451425352,25683.731913805852,92.10000000000001,28.03667082952917
1.9793358,6.5414958,391.05,-60.2,4.3,187.5,-1.0,222.74113726910755,119295650.13149616,119295650.13149616,30.401889397072114,7.780967526725902,25869.38983470337,91.10000000000002,28.05543395288875
1.9791515,6.5406922,392.56,-60.2,4.3,185.8,-1.0,220.41149610743952,121185793.89906728,121185793.89906728,28.692226098365325,7.823742415030992,25229.889325510856,92.50000000000001,28.072474635303443
1.9790007,6.5398803,393.97,-60.2,4.3,184.1,-1.0,221.74323933487932,122948661.66729093,122948661.66729093,28.65540924087806,7.618063958716873,25820.13234534378,91.60000000000001,28.089262693046233
1.9788828,6.5390452,395.31,-60.2,4.2,182.2,-1.0,221.9988869431213,123288152.81060006,123288152.81060006,28.22146064016568,7.836181288907998,26169.05606960578,90.4,28.104588589809133
1.9788063,6.5382076,396.76,-58.6,7.9,179.8,-1.0,222.06305425401135,124098728.80266525,124098728.80266525,28.20748300150787,7.832396363237244,26667.60136638752,90.6,28.11878915848805
1.9788104,6.5373012,400.63,-54.1,16.8,174.2,-1.0,219.68297673810704,123832162.41528758,123832162.41528758,26.914890479784976,7.815297361876892,26376.95458136365,92.9,28.133862430579036
1.9789428,6.536492,409.77,-51.2,23.3,167.2,-1.0,212.17119558895413,122617332.23051462,122617332.23051462,25.908618298553943,7.705695428886921,26656.071383436036,90.30000000000001,28.15411833609085
1.9791827,6.5357816,424.42,-49.0,28.2,160.7,-1.0,201.81508511869845,119382869.35172549,119382869.35172549,25.172932707109585,7.524685104237847,25695.162042181328,88.69999999999999,28.183859149739146
1.9795186,6.5351239,444.88,-46.9,32.4,154.5,-1.0,192.35144783739014,110280704.73584715,110280704.73584715,24.930775817581075,7.738710021512857,25400.685886148203,86.6,28.22773928972165
1.9799173,6.5345465,469.91,-45.2,36.7,148.5,-1.0,181.3581189555238,95752016.07422058,95752016.07422058,23.89771723834319,7.835617539971604,25244.97474116181,84.2,28.289395020255334
1.9803638,6.5340395,499.13,-45.4,40.6,142.9,-1.0,178.92874961319163,74840678.05760191,74840678.05760191,25.305832413291746,7.834767219232364,24636.133564528594,86.80000000000001,28.37213342795437
1.9808376,6.5336081,531.34,-48.8,44.1,137.2,-1.0,173.39763142767578,50642865.190962136,50642865.190962136,26.007451217757843,7.6261625408089175,25074.72241551729,85.50000000000001,28.47837358543468
1.9813255,6.5332509,565.24,-52.0,47.1,131.3,-1.0,163.4219191085911,28442878.81583197,28442878.81583197,25.316818114124946,7.821774565361553,25205.257086926074,85.80000000000001,28.609485790159095
1.9818262,6.5329584,600.47,-55.0,49.7,125.2,-1.0,156.1086452626097,11549197.750985272,11549197.750985272,24.110299173457623,7.687568780624009,25008.13687088674,85.5,28.766541783159965
1.9823712,6.5327118,639.12,-59.1,51.9,118.6,-1.0,152.915318097389,8385045.828994458,8385045.828994458,23.142370639061184,7.661300009917709,24937.28168050031,85.50000000000001,28.952075466449557
1.9829012,6.5325349,676.81,-63.5,53.6,112.0,-1.0,148.5708871120971,13232337.180783382,13232337.180783382,23.961856591957776,7.898954364685433,24821.95636505173,85.30000000000001,29.163499350963992
1.9834587,6.5324097,716.3,-72.4,54.7,104.7,-1.0,143.74322859031918,16513377.3764608,16513377.3764608,24.288458712709478,7.772298965546186,23961.495224842998,84.6,29.398157050001608
1.9840303,6.5323422,755.89,-81.8,54.6,97.2,-1.0,142.19481583861884,18348652.039544273,18348652.039544273,22.971168094247698,7.6859455682279405,24453.233286787803,83.9,29.65190705000161
2.0764818,6.5843154,1486.46,-17.8,1.8,37.9,-1.0,246.98523675768732,18802906.874285027,18802906.874285027,22.821240137822574,7.366439060154193,24096.53481024118,82.80000000000001,30.449267067499424
2.0771436,6.5848717,1487.98,-17.5,1.8,37.8,-1.0,381.42266160599456,21163156.849518772,21163156.849518772,22.78928457128551,7.2126180406894385,24107.84731125415,85.9,31.228629490946496
2.0778147,6.5854378,1489.54,-17.2,1.8,37.6,-1.0,369.70025336315143,48435531.14871822,48435531.14871822,22.25740246939455,7.017714275095627,24637.37498203571,83.7,31.986817373711148
2.0784857,6.5860058,1491.13,-17.0,1.8,37.5,-1.0,388.4642536428886,93212317.55559903,93212317.55559903,23.503671241771546,7.165447019268614,24564.807695046504,86.3,32.72156474903923
2.0791566,6.5865759,1492.74,-16.8,1.8,37.4,-1.0,371.1483524328032,132021364.70448524,132021364.70448524,22.850818536914403,6.790504547385133,24737.960894158547,86.5,33.43159318298499
2.0798618,6.5871771,1494.45,-16.5,1.8,37.3,-1.0,391.2392760201951,153571028.47529247,153571028.47529247,24.987302143101918,6.918800257355612,24605.15270736072,86.7,34.11596107449855
2.0805013,6.5877244,1496.03,-16.3,1.8,37.2,-1.0,372.22576064547707,112611526.54075977,112611526.54075977,25.023158115421115,6.917136773599625,24794.916482632754,87.00000000000001,34.77195079453355
2.0812188,6.5883404,1497.83,-16.0,1.8,37.1,-1.0,382.18006044623297,59086496.25673012,59086496.25673012,26.97753503323825,6.959107508914818,24545.017666718184,84.5,35.4004656676744
2.0818987,6.5889262,1499.55,-15.8,1.9,37.0,-1.0,397.77613117473214,127818644.87930241,127818644.87930241,26.829474594334805,6.931559582925287,24879.519436410697,87.30000000000001,36.00006649882051
2.082535,6.5894762,1501.19,-15.6,1.9,36.9,-1.0,372.5139664688433,203576968.5575162,203576968.5575162,28.751852424152244,6.9041550968714835,24758.63821122414,88.2,36.57061549269628
2.0832117,6.590063,1502.96,-15.4,1.9,36.9,-1.0,397.2556218510132,283769810.1616528,283769810.1616528,30.96512688848668,7.071276276686928,24868.50101510008,90.00000000000001,36.58324672629208
2.0838821,6.5906462,1504.73,-15.2,1.9,36.8,-1.0,376.14695449493485,280818723.7846444,280818723.7846444,30.19123484435629,7.325019103597295,25561.354816105268,89.10000000000001,36.59606934221509
2.0845556,6.5912339,1506.53,-15.0,1.9,36.7,-1.0,378.54596072980206,287029405.7330296,287029405.7330296,29.024540829898974,7.603747609496994,24779.07856682195,87.89999999999999,36.609075685172215
2.0852291,6.5918234,1508.36,-14.8,1.9,36.6,-1.0,397.6168392686503,293582708.6692803,293582708.6692803,26.898872041002264,7.334325536064246,25102.693190426922,85.8,36.62226575516347
2.0858744,6.59239,1510.14,-14.6,1.9,36.5,-1.0,381.42523119241696,294083886.76607466,294083886.76607466,26.75748969033188,7.718259459058237,24714.32011301533,83.60000000000001,36.63558596513722
2.0865541,6.5929885,1512.03,-14.4,1.9,36.4,-1.0,384.1958672730847,293828893.30438375,293828893.30438375,25.308176661386224,7.711450760705134,24985.240948571904,86.80000000000001,36.649043970386565
2.0872649,6.5936163,1514.04,-14.2,2.0,36.3,-1.0,402.77842886203246,301845737.11354804,301845737.11354804,24.99306126087134,7.624314586789026,25058.27608576113,84.9,36.662831153238706
2.087907,6.5941851,1515.87,-14.1,2.0,36.2,-1.0,381.51850298104017,291883997.6630076,291883997.6630076,23.97514975978866,7.276124339796734,25564.163241576192,87.80000000000001,36.676641301970115
2.0885866,6.5947888,1517.84,-13.9,2.0,36.2,-1.0,386.15433796330404,295298334.58873326,295298334.58873326,24.541039578068148,7.442957689801835,25405.13537980331,85.2,36.69064283302873
2.089263,6.5953915,1519.82,-13.7,2.0,36.1,-1.0,385.0044945115996,307601899.96814036,307601899.96814036,22.62380510719789,7.821708074326108,25623.859455063608,85.0,36.704904644052355
2.0899363,6.595993,1521.82,-13.6,2.0,36.0,-1.0,402.45903812143956,303734833.78322035,303734833.78322035,20.292035369009852,7.772364906475612,25805.0810485034,82.8,36.71934252681701
2.0906002,6.5965878,1523.82,-13.4,2.0,35.9,-1.0,397.39867823532614,309764539.9594058,309764539.9594058,21.670180241580137,7.58875461303141,25086.786591381606,84.3,36.7339564813227
2.0912329,6.5971561,1525.75,-13.2,2.0,35.8,-1.0,378.98730917203915,314990713.8396674,314990713.8396674,23.07558631938508,7.638249183183321,25903.217402454375,88.00000000000001,36.74866995463854
2.0919249,6.5977792,1527.88,-13.1,2.0,35.8,-1.0,396.6223684052058,312606259.52871877,312606259.52871877,24.6565975080252,7.594537579034796,25300.50102776483,89.4,36.76361308674702
2.0925856,6.5983759,1529.94,-13.0,2.1,35.7,-1.0,397.43323930771857,312028677.7422122,312028677.7422122,25.77208683187077,7.388428742156046,25606.20709263135,91.80000000000001,36.77877056706198
2.0932433,6.5989713,1532.01,-12.8,2.1,35.6,-1.0,396.1569190226296,317324942.3260707,317324942.3260707,27.31935158374905,7.202129548284849,25432.13984126773,91.60000000000001,36.79406584265253
