flight id:901
flight code:F-15C
origin:US
date:2011-06-01
from:novorossiysk
to:krasnodar pashkovsky
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.408162940600709
drag coef:0.016385370250972982

timestamp,longitude,latitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631.32,6.4752918,4.1768605,-1.0,4.0,-1.0,2242033.9956296,-935127.8842547999,-1.0,161.03081458591575,3064.291732113353,3064.291732113353,299.03173329178503,0.08104448846465924,3.62204984934428,89.2,0.2880538169396177
1306893631.74,6.475647,4.1769052,-1.0,5.8,-1.0,2242128.51663,-935100.8173248,-1.0,161.03081458591575,3111.3684292160838,3111.3684292160838,300.2230445214218,0.0784827432669921,3.7005075334069666,92.7,0.2879133423114462
1306893632.16,6.4760197,4.1769521,-1.0,6.9,-1.0,2242227.76204,-935072.3068252001,-1.0,169.02040226871742,3267.0748501443018,3267.0748501443018,300.1731388867862,0.07743727885465128,3.6889100294586163,95.60000000000001,0.2878818025039222
1306893632.58,6.4763879,4.1769985,-1.0,7.7,-1.0,2242325.7935392,-935044.2228347999,-1.0,166.9484099148005,3193.4259245284566,3193.4259245284566,300.7378667718193,0.07969640397245167,3.668635874342571,94.30000000000001,0.2878621284006851
1306893633.01,6.4767784,4.1770476,-1.0,8.2,-1.0,2242429.7305504,-935014.4984243999,-1.0,172.80861031403637,3443.355840735891,3443.355840735891,299.17404994718265,0.07886181405542256,3.5723694444267324,96.89999999999999,0.28785133443743055
1306893634.5,6.4781979,4.1772264,-1.0,9.7,-1.0,2242807.4536595996,-934906.1322792,-1.0,181.18971502558833,3443.3558407358923,3443.3558407358923,299.17404994718265,0.07886181405542256,3.5723694444267333,96.9,0.2878513344374305
1306893634.92,6.4786099,4.1772783,-1.0,9.9,-1.0,2242917.1649492,-934874.6362152001,-1.0,186.69430186524684,3193.4259245284557,3193.4259245284557,300.7378667718193,0.07969640397245169,3.6686358743425713,94.30000000000001,0.28786212840068504
1306893635.36,6.4790541,4.1773343,-1.0,10.1,-1.0,2243035.2751892,-934840.7123296,-1.0,191.8589727311729,3267.074850144303,3267.074850144303,300.1731388867862,0.07743727885465129,3.688910029458617,95.60000000000001,0.28788180250392215
1306893635.79,6.4794954,4.1773901,-1.0,10.3,-1.0,2243152.7620695997,-934806.8868692,-1.0,195.35475884990876,3111.3684292160833,3111.3684292160833,300.2230445214218,0.07848274326699212,3.7005075334069666,92.70000000000002,0.28791334231144616
1306893637.95,6.4818114,4.1776862,0.1,10.3,-1.0,2243768.93663,-934628.47479,-1.0,204.32060098468077,3064.291732113353,3064.291732113353,299.03173329178503,0.08104448846465927,3.6220498493442808,89.2,0.2880538169396177
