flight id:501
flight code:Tu-142
origin:RU
date:2011-06-01
from:krymsk
to:maykop-khanskaya
motor(s):4
mass aircraft:96000.025248
mass fuel:96000.025248
lift coef:1.5098032749390164
drag coef:0.017311591591697872

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,engine_2,engine_3,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893651.15,5.8544104,3.9282649,-1.0,-1.0,1.1,-1.0,-1.0,50.03768929419622,21371702.26022393,21371702.26022393,21371702.26022393,21371702.26022393,29.453384016674175,6.884064595720837,23820.105323562642,87.5,34.51426887363347
1306893663.79,5.86171,3.9296268,-1.0,-1.0,1.0,-1.0,-1.0,50.03768929419622,25612757.17339503,25612757.17339503,25612757.17339503,25612757.17339503,28.63272013906787,6.896756038767388,23944.118467012464,88.4,34.441359862259894
1306893705.11,5.9020464,3.9372573,99.6,1.1,6.6,-1.0,-1.0,84.31027827999617,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,27.329818206476382,7.027564709678661,24076.463344892687,87.50000000000001,34.444865986494364
1306893705.97,5.9030301,3.9374466,99.04,1.1,6.5,77.0,-1.0,98.82950318745638,14651657.609383143,14651657.609383143,14651657.609383143,14651657.609383143,27.140527594251132,6.986436420425096,24524.985925840447,89.60000000000001,34.44684870740425
1306893706.19,5.9032916,3.9374964,98.64,1.1,6.4,77.0,-1.0,102.60552679231037,12913524.271423776,12913524.271423776,12913524.271423776,12913524.271423776,24.665869347030316,6.849642232092286,23891.159711856595,90.80000000000001,34.44805824371222
1306893706.63,5.9037975,3.9375924,97.65,1.1,6.3,77.0,-1.0,99.22011548662987,12913524.271423774,12913524.271423774,12913524.271423774,12913524.271423774,24.665869347030316,6.849642232092286,23891.159711856595,90.80000000000001,34.44805824371222
1306893706.84,5.9040524,3.9376405,97.06,1.1,6.2,77.0,-1.0,104.59647900360753,14651657.609383142,14651657.609383142,14651657.609383142,14651657.609383142,27.140527594251136,6.986436420425096,24524.985925840447,89.60000000000001,34.44684870740425
1306893707.05,5.9042916,3.9376854,96.45,1.1,6.1,77.1,-1.0,98.22176902852085,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,27.329818206476382,7.0275647096786615,24076.463344892687,87.5,34.444865986494364
1306893707.48,5.9048008,3.9377805,95.02,1.1,6.0,77.1,-1.0,102.19680808811309,25612757.173395038,25612757.173395038,25612757.173395038,25612757.173395038,28.63272013906787,6.896756038767387,23944.118467012464,88.4,34.441359862259894
1306893707.7,5.9050568,3.937828,94.24,1.0,5.9,77.1,-1.0,100.32132719968853,21371702.260223925,21371702.260223925,21371702.260223925,21371702.260223925,29.453384016674175,6.884064595720836,23820.10532356264,87.5,34.51426887363347
1306893708.12,5.9055605,3.9379211,92.64,1.0,6.0,77.2,-1.0,103.46033258753401,13433897.00190994,13433897.00190994,13433897.00190994,13433897.00190994,30.6445903276322,6.907660897617259,23835.950257994904,85.9,34.58595303811291
1306893708.34,5.9058213,3.937969,91.83,0.9,6.1,77.2,-1.0,102.10009792450819,3552435.467431008,3552435.467431008,3552435.467431008,3552435.467431008,30.65481158224638,6.647911575746384,23927.979832277764,84.8,34.65701712385219
1306893708.56,5.906095,3.9380192,91.05,0.9,6.3,77.2,-1.0,107.16151099176727,7450487.564722869,7450487.564722869,7450487.564722869,7450487.564722869,30.593522576539147,6.582946098169449,24673.79394874604,86.2,34.650471848261645
1306893708.77,5.906343,3.9380645,90.43,0.9,6.5,77.2,-1.0,101.76230976474069,5406610.325064779,5406610.325064779,5406610.325064779,5406610.325064779,30.10668027920972,6.78110288073352,24945.223336744635,84.00000000000001,34.643880640912556
1306893708.99,5.9066061,3.9381124,89.89,0.8,6.9,77.2,-1.0,103.15059666991547,5191246.720046033,5191246.720046033,5191246.720046033,5191246.720046033,31.211307446298456,7.077280002106812,25067.55452227819,84.00000000000001,34.63718225946024
1306893709.21,5.9068687,3.9381601,89.5,0.7,7.3,77.3,-1.0,102.52747481703074,4931222.389338355,4931222.389338355,4931222.389338355,4931222.389338355,31.81180744196942,7.280500447752254,25055.871583502747,85.60000000000001,34.630943195593225
1306893709.42,5.9071305,3.9382076,89.29,0.7,7.8,77.3,-1.0,107.39863405679675,1400636.2206865763,1400636.2206865763,1400636.2206865763,1400636.2206865763,29.163880424090763,7.329637016496928,24959.873796246782,87.9,34.624995032863566
1306893709.63,5.9073892,3.9382543,89.3,0.6,8.3,77.3,-1.0,106.06145307475794,1193972.7373702915,1193972.7373702915,1193972.7373702915,1193972.7373702915,29.15548873957876,7.568202497615921,25509.92793145669,89.70000000000002,34.61952149830539
1306893709.84,5.9076359,3.9382989,89.52,0.6,8.8,77.3,-1.0,101.05431531376114,1417117.1185647105,1417117.1185647105,1417117.1185647105,1417117.1185647105,29.282386554848642,7.561274440781849,26127.5439659967,90.9,34.61531108710679
1306893710.06,5.907906,3.9383477,90.0,0.5,9.2,77.3,-1.0,105.78674602448923,1113528.8787754655,1113528.8787754655,1113528.8787754655,1113528.8787754655,27.2467002179524,7.436873638615703,25827.756099450264,93.8,34.61206524283732
1306893710.27,5.908164,3.9383942,90.7,0.4,9.4,77.3,-1.0,105.81291928869382,2760845.369233943,2760845.369233943,2760845.369233943,2760845.369233943,27.501448237446137,7.399829012828377,25804.327863317223,95.00000000000001,34.61058011597818
1306893710.48,5.9084208,3.9384406,91.61,0.3,9.6,77.4,-1.0,105.24323415432733,552746.2222801106,552746.2222801106,552746.2222801106,552746.2222801106,28.173956889013994,7.586666702591231,25425.909956204447,95.40000000000002,34.61041169953024
1306893710.69,5.9086776,3.938487,92.71,0.3,9.7,77.4,-1.0,105.53012721784435,1119798.7315859483,1119798.7315859483,1119798.7315859483,1119798.7315859483,28.649755914480536,7.715649288209097,25184.37751948079,94.70000000000002,34.61168247818291
1306893710.9,5.9089318,3.938533,93.98,0.2,9.8,77.4,-1.0,104.38059527129442,1472111.0645541977,1472111.0645541977,1472111.0645541977,1472111.0645541977,27.410953443369486,7.606090538640116,24484.916031862835,93.80000000000001,34.61440010722927
1306893711.32,5.9094375,3.9386247,96.95,0.1,9.7,77.4,-1.0,103.83739859333976,1429868.122640893,1429868.122640893,1429868.122640893,1429868.122640893,27.79101321414217,7.382906981074675,24770.70548885999,93.80000000000001,34.61980474414966
1306893711.54,5.9096998,3.9386725,98.68,0.0,9.6,77.4,-1.0,103.13010231243595,6838877.336923874,6838877.336923874,6838877.336923874,6838877.336923874,26.744537101674783,7.406524036943159,24853.388936491363,90.7,34.62683230320478
1306893711.76,5.9099741,3.9387226,100.6,0.0,9.5,77.4,-1.0,107.67801857578677,7281661.424363685,7281661.424363685,7281661.424363685,7281661.424363685,26.504747446959183,7.238694793879991,25049.73951373336,90.30000000000001,34.635490439687715
1306893711.97,5.9102324,3.9387699,102.5,-0.1,9.4,77.4,-1.0,106.27057015632236,4321943.601392761,4321943.601392761,4321943.601392761,4321943.601392761,25.26271167724101,7.153090447641891,24898.49589951355,89.2,34.64559542656435
1306893712.18,5.9104771,3.9388149,104.37,-0.1,9.3,77.4,-1.0,100.60490525647921,6724805.494075812,6724805.494075812,6724805.494075812,6724805.494075812,23.59042171737889,7.3736952015767345,24533.58542069356,88.50000000000001,34.656963536800575
1306893712.39,5.9107375,3.9388629,106.4,-0.1,9.1,77.4,-1.0,107.32202865973278,8497562.820090542,8497562.820090542,8497562.820090542,8497562.820090542,23.03286577359865,7.426113603621418,24526.095356215537,85.30000000000001,34.66951821746549
1306893712.61,5.9110073,3.9389129,108.56,-0.2,9.0,77.4,-1.0,106.11775821976853,3301563.432185725,3301563.432185725,3301563.432185725,3301563.432185725,22.751246916178314,7.438193240037463,24375.704831747797,84.60000000000001,34.683190570921305
1306893712.82,5.9112613,3.9389601,110.61,-0.2,8.8,77.4,-1.0,104.84499285744884,3332760.007911558,3332760.007911558,3332760.007911558,3332760.007911558,21.300459859829896,7.357048712824203,24279.713684978804,84.9,34.69773562778921
1306893713.04,5.9115163,3.9390076,112.67,-0.2,8.6,77.4,-1.0,100.39554718753314,5703466.1407219805,5703466.1407219805,5703466.1407219805,5703466.1407219805,22.87933811034491,7.391282944484637,24110.215979487002,87.0,34.71301559279358
1306893713.26,5.9117882,3.9390585,114.84,-0.2,8.4,77.4,-1.0,106.85807985559315,7235424.350935158,7235424.350935158,7235424.350935158,7235424.350935158,22.17997242064768,7.380881912694575,23947.760646676856,87.5,34.72898453417591
1306893713.47,5.9120469,3.9391071,116.82,-0.3,8.1,77.4,-1.0,106.79938124739994,5043606.448458028,5043606.448458028,5043606.448458028,5043606.448458028,22.823756233535665,7.402076168976752,24037.90037362891,89.4,34.744195601542486
1306893713.68,5.9122922,3.9391535,118.61,-0.3,7.8,77.4,-1.0,101.06686162096754,7816532.798347052,7816532.798347052,7816532.798347052,7816532.798347052,22.35341966262461,7.065443407181629,23689.73532595601,90.30000000000001,34.75945260066759
1306893713.89,5.9125523,3.9392028,120.38,-0.3,7.6,77.4,-1.0,107.11534774805992,9721313.93096079,9721313.93096079,9721313.93096079,9721313.93096079,23.330278386759954,7.031333872264016,22938.716962981558,91.80000000000001,34.77459477039638
1306893714.11,5.912821,3.939254,122.05,-0.3,7.3,77.4,-1.0,105.59096727375388,4583002.0350230485,4583002.0350230485,4583002.0350230485,4583002.0350230485,22.27516440431959,7.048385261356444,22576.236195128025,90.0,34.78956086838413
1306893714.32,5.9130755,3.9393026,123.46,-0.3,7.0,77.3,-1.0,104.81408954726314,4967287.629462283,4967287.629462283,4967287.629462283,4967287.629462283,23.91314624359532,6.770353393142284,23201.8133967121,90.30000000000001,34.80417482288982
1306893714.53,5.9133279,3.9393509,124.68,-0.2,6.8,77.3,-1.0,103.8270133910237,5542710.282512412,5542710.282512412,5542710.282512412,5542710.282512412,26.659741189197582,6.930443380868604,23399.940764081268,93.00000000000001,34.81816869865535
1306893714.75,5.9135929,3.9394018,125.75,-0.2,6.6,77.3,-1.0,104.26541812660405,4768219.919441429,4768219.919441429,4768219.919441429,4768219.919441429,24.1177889987372,6.967331789417006,24063.385928670872,90.4,34.831328147474245
1306893714.97,5.9138548,3.9394522,126.6,-0.2,6.4,77.3,-1.0,102.74402346120162,4569630.497026005,4569630.497026005,4569630.497026005,4569630.497026005,24.115243017734226,7.213115227682463,24159.351964489433,91.30000000000001,34.843568961122536
1306893715.18,5.914116,3.9395025,127.26,-0.2,6.3,77.3,-1.0,107.5032713221326,10387014.778744416,10387014.778744416,10387014.778744416,10387014.778744416,24.107254511183033,7.045100890892033,23784.2307434465,90.00000000000001,34.854738033738464
1306893715.61,5.9146413,3.9396038,128.08,-0.1,6.4,77.3,-1.0,105.41278290377686,6724855.555979398,6724855.555979398,6724855.555979398,6724855.555979398,25.169060376525593,7.325337737722908,24424.688977003654,91.40000000000002,34.864873641787455
1306893715.82,5.9149018,3.9396539,128.3,-0.1,6.5,77.3,-1.0,107.19016780807283,3518488.767626687,3518488.767626687,3518488.767626687,3518488.767626687,25.10258523744956,7.245960065925509,23965.608436338967,89.90000000000002,34.87366191825289
1306893716.03,5.9151629,3.9397042,128.41,-0.1,6.6,77.3,-1.0,107.24429041168776,2891858.494714626,2891858.494714626,2891858.494714626,2891858.494714626,26.681638135200785,7.555183476533633,24116.930890745312,89.90000000000002,34.88116410547949
