flight id:201
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:novorossiysk
to:maykop-khanskaya
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306894388.53,8.1614926,4.7718176,6751.98,29.9,-15.2,119.4,814025.56,-201811.19,-1.0,98.89858664513835,4047454.913718845,21.974932569072386,7.432366305998565,26273.40700909755,82.5,81.3583034182357
1306894388.32,8.1612756,4.771921,6756.27,37.2,-15.8,119.8,814006.25,-201802.06,-1.0,92.41182680646041,6365647.646611238,22.81190367362649,7.541823364377281,25473.023663351127,83.50000000000001,81.34613915751831
1306894387.48,8.1604638,4.7723377,6766.12,104.4,-6.9,122.3,813933.56,-201764.64,-1.0,91.35235999473305,8716514.772547955,21.58104630981368,7.449663036298168,26358.410767165937,86.10000000000001,81.31178985743081
1306894387.27,8.160265,4.7724468,6767.36,128.6,-2.6,122.5,813915.63,-201754.7,-1.0,88.98100363236428,10928179.375679707,21.97052387846263,7.273704544373372,27016.070569980864,89.80000000000001,81.24622992742205
1306894387.05,8.1600616,4.7725588,6768.17,149.5,1.8,122.4,813897.31,-201744.48,-1.0,87.42040176736317,13846249.411025511,24.14523617906274,7.298647232310727,26835.120527375984,93.50000000000001,81.17067983993297
1306894386.42,8.159487,4.7728711,6766.68,169.3,12.8,121.7,813845.63,-201716.06,-1.0,86.40041345586246,16427724.216223316,24.913074769267226,7.219940683878717,26427.295862855135,94.4,81.07466715401871
1306894386.21,8.1592983,4.7729708,6764.66,169.7,14.7,121.3,813828.63,-201707.05,-1.0,85.87428086816121,19567742.741704077,27.60669036129564,7.172489463455834,26009.39247999209,95.8,80.96919252584725
1306894386.0,8.1591102,4.7730685,6761.85,170.0,16.5,120.9,813811.81,-201698.25,-1.0,88.2286009623841,22932632.375510667,27.6491244596202,7.260411928916046,26029.69383860675,98.9,80.82965184343256
1306894385.79,8.1589184,4.7731664,6758.19,170.4,18.4,120.5,813794.63,-201689.47,-1.0,87.4468790538445,26245191.300078854,28.377970520428683,6.874536665434755,25599.75808838778,99.0,80.67917940248766
1306894385.16,8.1583563,4.7734433,6742.67,171.7,23.7,119.4,813744.44,-201664.84,-1.0,86.80033572466881,28913139.550392006,29.228643140079924,6.86882437739387,25354.4184930245,101.20000000000002,80.50440906128033
1306894384.95,8.1581743,4.7735298,6736.09,172.2,25.6,119.0,813728.25,-201657.22,-1.0,89.84526001168376,31599667.75494627,28.38391705239845,7.1668182868459205,24682.56467545192,100.60000000000001,80.32734978743954
1306894384.32,8.1576264,4.7737814,6711.4,173.6,30.9,117.9,813679.63,-201635.27,-1.0,91.28058780730944,34239981.078551814,28.60150813793203,7.184797860537461,25246.065602424056,102.60000000000001,80.12582419688836
1306894383.69,8.1571021,4.7740098,6680.48,175.3,36.2,116.8,813633.25,-201615.61,-1.0,93.92387784963684,36671730.5541474,27.527869580249504,7.235512387925279,25303.482476655623,102.60000000000001,79.89372336574226
1306894383.48,8.1569306,4.774082,6668.67,175.8,37.9,116.5,813618.13,-201609.47,-1.0,96.35988726275572,39927059.39826134,26.699807423465963,7.32609962156859,24931.24893032865,101.5,79.63160613039669
1306894383.06,8.1565926,4.7742205,6642.75,177.0,41.4,115.8,813588.38,-201597.78,-1.0,97.14513301058068,43217882.93544955,25.723493559004368,7.527416126279531,24862.531672034595,100.8,79.3595446693293
1306894382.85,8.1564295,4.7742856,6628.9,177.8,43.2,115.5,813574.06,-201592.33,-1.0,100.13374632578137,46362380.05768938,25.618891242832543,7.352903963251025,25232.76398707292,100.5,79.06870477431619
1306894382.21,8.1559496,4.7744708,6582.38,179.7,48.3,114.5,813532.0,-201577.0,-1.0,105.90707592180904,49410896.331382655,24.177081640050574,7.683916040719487,25776.71292035484,100.0,78.7486982126364
1306894382.0,8.1557945,4.7745286,6565.29,-179.7,49.9,114.3,813518.44,-201572.28,-1.0,105.94387634665168,53483892.52883372,24.72818849947853,7.818336596000526,25347.20024363798,98.0,78.44329029487612
1306894381.58,8.1555017,4.774635,6529.89,-178.3,53.2,113.7,813492.88,-201563.66,-1.0,107.5004182112062,57427708.65924545,25.52008994066793,7.816992617083059,25243.605070927373,98.8,78.08501492304761
1306894381.37,8.1553621,4.7746845,6511.38,-177.6,54.9,113.4,813480.69,-201559.69,-1.0,108.96545034998995,61300179.49275142,24.308819375726976,7.801615967306898,25356.971369578256,97.4,77.68505648035294
1306894380.95,8.1550967,4.7747765,6472.84,-176.2,58.0,112.9,813457.56,-201552.36,-1.0,117.05104544006561,68171114.96152607,24.67189458867216,7.883027783768274,25668.098661679487,95.4,77.27492415314384
1306894380.32,8.1547167,4.7749036,6408.21,-173.9,62.8,112.3,813424.56,-201542.41,-1.0,120.61008284259475,73601455.57667398,23.61739485304813,7.651349755110034,25519.5600180505,94.60000000000001,76.82106479181401
1306894379.68,8.1543796,4.7750123,6338.08,-171.4,67.6,111.9,813395.31,-201534.02,-1.0,127.3453681154723,78205999.16056982,24.646749445998218,7.629645048304339,25495.6673205882,93.30000000000001,76.34158316451743
1306894379.47,8.1542765,4.775045,6313.28,-170.5,69.1,111.8,813386.38,-201531.52,-1.0,127.95948438322363,83719066.44465713,26.62903745375038,7.823453134277235,25162.016148453724,92.1,75.89002804640718
1306894379.05,8.1540897,4.7751038,6262.83,-168.5,72.2,111.9,813370.25,-201527.02,-1.0,130.03637559456376,87318992.24001537,26.736741461717955,7.4741543693362935,26008.588950936995,92.9,75.377835351744
1306894378.63,8.1539268,4.7751554,6210.88,-166.4,75.1,111.9,813356.13,-201523.06,-1.0,136.12249996610763,88519292.40599881,27.55158572847599,7.5467231432865365,26168.309131356462,89.6,74.82195389942555
